Artist,Title,Air Time,Letter,First Word,Duration,Year
Built To Spill,Carry The Zero,2020-12-13 18:50:00,C,Carry,7,1998
The Ramones,Sheena Is A Punk Rocker,2020-12-13 18:57:00,S,Sheena,3,1977
The Eagles,Take It To The Limit,2020-12-13 19:00:00,T,Take,5,0
The Clash,Clampdown,2020-12-13 19:05:00,C,Clampdown,4,1979
The Doors,Peace Frog,2020-12-13 19:09:00,P,Peace,5,1970
Van Morrison,Days Like This,2020-12-13 19:14:00,D,Days,3,1995
U2,In God's Country,2020-12-13 19:17:00,I,In,3,1987
Steely Dan,Black Cow,2020-12-13 19:20:00,B,Black,6,1977
Stevie Wonder,Knocks Me Off My Feet,2020-12-13 19:26:00,K,Knocks,4,1976
Prince,I Wanna Be Your Lover,2020-12-13 19:30:00,I,I,2,1978
The Moody Blues,Question,2020-12-13 19:32:00,Q,Question,7,1970
Lucinda Williams,Right In Time,2020-12-13 19:39:00,R,Right,5,1998
Four Tops,Bernadette,2020-12-13 19:44:00,B,Bernadette,3,1968
Foghat,Slow Ride,2020-12-13 19:47:00,S,Slow,9,1975
Faces,Stay With Me,2020-12-13 19:56:00,S,Stay,5,1973
The Who,Eminence Front,2020-12-13 20:01:00,E,Eminence,5,1982
Stevie Nicks,Edge Of Seventeen,2020-12-13 20:06:00,E,Edge,7,1981
Steely Dan,Bodhisattva,2020-12-13 20:13:00,B,Bodhisattva,5,1973
Sparks,This Town Ain't Big Enough For The Both Of Us,2020-12-13 20:18:00,T,This,3,1974
Southside Johnny & The Asbury Jukes,I Don't Want To Go Home,2020-12-13 20:21:00,I,I,5,1976
Smokey Robinson & The Miracles,The Tracks Of My Tears,2020-12-13 20:26:00,T,The,3,1983
The Replacements,I Will Dare,2020-12-13 20:29:00,I,I,4,1983
Nirvana,Lithium,2020-12-13 20:33:00,L,Lithium,5,1991
Les McCann & Eddie Harris,Compared To What,2020-12-13 20:38:00,C,Compared,9,1969
Leonard Cohen,Closing Time,2020-12-13 20:47:00,C,Closing,6,1992
Joan Armatrading,Down To Zero,2020-12-13 20:53:00,D,Down,4,1976
Gary Clark Jr.,This Land,2020-12-13 20:57:00,T,This,5,2019
Cyndi Lauper,Time After Time,2020-12-13 21:02:00,T,Time,4,1984
Bobby Darin,Beyond The Sea,2020-12-13 21:06:00,B,Beyond,4,1961
Bob Marley & The Wailers,"Get Up, Stand Up",2020-12-13 21:10:00,G,Get,3,1984
The Beatles,"Ob-La-Di, Ob-La-Da",2020-12-13 21:13:00,O,Ob-La-Di,3,1967
Rilo Kiley,Portions For Foxes,2020-12-13 21:16:00,P,Portions,5,2004
Neil Young,Cinnamon Girl,2020-12-13 21:21:00,C,Cinnamon,3,1969
Metallica,Fade to Black,2020-12-13 21:24:00,F,Fade,7,1984
Leonard Cohen,Famous Blue Raincoat,2020-12-13 21:31:00,F,Famous,5,1971
Dionne Warwick,Walk On By,2020-12-13 21:36:00,W,Walk,4,1964
The Allman Brothers,Ramblin' Man,2020-12-13 21:40:00,R,Ramblin',5,1976
King Crimson,21st Century Schizoid Man,2020-12-13 21:45:00,2,21st,7,1991
John Lennon,Watching The Wheels,2020-12-13 21:52:00,W,Watching,5,1980
Elton John,Madman Across The Water,2020-12-13 21:57:00,M,Madman,6,1971
Bruce Springsteen,Spirit In The Night,2020-12-13 22:03:00,S,Spirit,5,1973
Tom Petty,Room At The Top,2020-12-13 22:08:00,R,Room,7,1996
Smokey Robinson & The Miracles,Ooh Baby Baby,2020-12-13 22:15:00,O,Ooh,2,1986
Motorhead,Ace Of Spades,2020-12-13 22:17:00,A,Ace,3,1985
Isaac Hayes,Theme From Shaft,2020-12-13 22:20:00,T,Theme,6,1973
Bob Dylan,Up To Me,2020-12-13 22:26:00,U,Up,6,1985
Billy Joel,Just The Way You Are,2020-12-13 22:32:00,J,Just,6,1989
Big Mama Thornton,Hound Dog,2020-12-13 22:38:00,H,Hound,3,1953
Ben Folds,The Luckiest,2020-12-13 22:41:00,T,The,4,2001
B-52's,Roam,2020-12-13 22:45:00,R,Roam,5,1989
Electric Light Orchestra w/ Olivia Newton John,Xanadu,2020-12-13 22:50:00,X,Xanadu,5,0
Roxy Music,More Than This,2020-12-13 22:55:00,M,More,4,1984
Josh Ritter,Getting Ready To Get Down,2020-12-13 22:59:00,G,Getting,4,2015
Phish,Farmhouse,2020-12-13 23:03:00,F,Farmhouse,3,1999
Phish,Sigma Oasis,2020-12-13 23:06:00,S,Sigma,7,2019
Judy Collins,Both Sides Now,2020-12-13 23:13:00,B,Both,3,1967
Ralph McTell,Streets Of London,2020-12-13 23:16:00,S,Streets,4,1969
John Hartford,Gentle On My Mind,2020-12-13 23:20:00,G,Gentle,4,1967
The Hollies,Long Cool Woman (In a Black Dress),2020-12-13 23:24:00,L,Long,3,1976
Grateful Dead,Brown-Eyed Women,2020-12-13 23:27:00,B,Brown-Eyed,5,1996
Eva Cassidy,Over The Rainbow,2020-12-13 23:32:00,O,Over,6,1992
Bob Marley & The Wailers,Could You Be Loved,2020-12-13 23:38:00,C,Could,3,1984
Bob Dylan,Things Have Changed,2020-12-13 23:41:00,T,Things,5,2000
The Black Keys,Little Black Submarines,2020-12-13 23:46:00,L,Little,6,2011
Amos Lee,El Camino,2020-12-13 23:52:00,E,El,3,2011
Bob Dylan,Boots of Spanish Leather,2020-12-13 23:55:00,B,Boots,5,1964
John Mayer,Gravity,2020-12-14 00:00:00,G,Gravity,4,2005
The Eagles,"Peaceful, Easy Feeling",2020-12-14 00:04:00,P,Peaceful,5,1998
The Police,Roxanne,2020-12-14 00:09:00,R,Roxanne,4,1978
David Bowie,Five Years,2020-12-14 00:13:00,F,Five,5,1972
Five For Fighting,100 Years,2020-12-14 00:18:00,Y,100,4,2002
Bob Dylan,Every Grain of Sand,2020-12-14 00:22:00,E,Every,6,1981
Richard Harris,MacArthur Park,2020-12-14 00:28:00,M,MacArthur,8,1968
R. E. M.,Everybody Hurts,2020-12-14 00:36:00,E,Everybody,5,1992
Lauryn Hill,Everything Is Everything,2020-12-14 00:41:00,E,Everything,5,1998
Hozier,Take Me To Church,2020-12-14 00:46:00,T,Take,4,2014
Elton John,Someone Saved My Life Tonight,2020-12-14 00:50:00,S,Someone,8,1975
Ray Charles,Hit The Road Jack,2020-12-14 00:58:00,H,Hit,2,1987
Drive-By Truckers,What It Means,2020-12-14 01:00:00,W,What,7,2016
Oasis,Champagne Supernova,2020-12-14 01:07:00,C,Champagne,8,1995
Holmes Brothers,"We Meet, We Part, We Remember",2020-12-14 01:15:00,W,We,4,2004
Genesis,Dancing With The Moonlight Knight,2020-12-14 01:19:00,D,Dancing,8,0
Fela Kuti,Water No Get No Enemy (edit),2020-12-14 01:27:00,W,Water,9,0
Dire Straits,Telegraph Road,2020-12-14 01:36:00,T,Telegraph,15,1982
Bob Dylan,Lay Lady Lay,2020-12-14 01:51:00,L,Lay,3,1969
Bee Gees,To Love Somebody,2020-12-14 01:54:00,T,To,4,1967
Queen,We Will Rock You,2020-12-14 01:58:00,W,We,2,1979
Jason Isbell & The 400 Unit,Dreamsicle,2020-12-14 02:00:00,D,Dreamsicle,4,2020
George Clinton,Atomic Dog,2020-12-14 02:04:00,A,Atomic,5,1982
Genesis,I Know What I Like,2020-12-14 02:09:00,I,I,4,1973
Dar Williams,When I Was A Boy,2020-12-14 02:13:00,W,When,5,1995
The Modern Lovers,Roadrunner,2020-12-14 02:18:00,R,Roadrunner,4,1976
Bee Gees,How Deep Is Your Love,2020-12-14 02:22:00,H,How,4,1977
The Police,Every Breath You Take,2020-12-14 02:26:00,E,Every,5,1983
Pete Seeger,We Shall Overcome,2020-12-14 02:31:00,W,We,5,1962
Renaissance,Mother Russia,2020-12-14 02:36:00,M,Mother,10,1974
The Doors,When The Music's Over,2020-12-14 02:46:00,W,When,11,1970
James Brown,"It's A Man's, Man's, Man's World",2020-12-14 02:57:00,I,It's,3,1970
Dion,Runaround Sue,2020-12-14 03:00:00,R,Runaround,3,1984
The Black Crowes,She Talks To Angels,2020-12-14 03:03:00,S,She,6,1990
Grateful Dead,Althea,2020-12-14 03:09:00,A,Althea,7,1980
Grateful Dead,Wharf Rat,2020-12-14 03:16:00,W,Wharf,8,1997
Violent Femmes,Blister In The Sun,2020-12-14 03:24:00,B,Blister,3,1983
Tom Tom Club,Genius Of Love,2020-12-14 03:27:00,G,Genius,5,1981
Pearl Jam,Better Man,2020-12-14 03:32:00,B,Better,4,2000
Tom Petty & The Heartbreakers,Refugee,2020-12-14 03:36:00,R,Refugee,3,1979
Lou Reed,Satellite Of Love,2020-12-14 03:39:00,S,Satellite,4,1972
Joe Jackson,Is She Really Going Out With Him,2020-12-14 03:43:00,I,Is,3,1978
Heart,Barracuda,2020-12-14 03:46:00,B,Barracuda,6,1987
George Harrison,Give Me Love,2020-12-14 03:52:00,G,Give,3,1970
The Eagles,Already Gone,2020-12-14 03:55:00,A,Already,5,0
David Bromberg,Sharon,2020-12-14 04:00:00,S,Sharon,6,1972
Chic,Good Times,2020-12-14 04:06:00,G,Good,10,1979
David Bowie,Let's Dance,2020-12-14 04:16:00,L,Let's,8,1996
Carly Simon,You're So Vain,2020-12-14 04:24:00,Y,You're,4,1976
Bob Dylan,Simple Twist Of Fate,2020-12-14 04:28:00,S,Simple,4,1975
Gladys Knight & the Pips,Midnight Train To Georgia,2020-12-14 04:32:00,M,Midnight,5,1992
The Decemberists,The Crane Wife 3,2020-12-14 04:37:00,T,The,4,2006
Cat Stevens,Wild World,2020-12-14 04:41:00,W,Wild,4,1970
Otis Redding,I've Been Loving You Too Long,2020-12-14 04:45:00,I,I've,3,1965
Dolly Parton,I Will Always Love You,2020-12-14 04:48:00,I,I,3,1974
Iris Dement,Our Town,2020-12-14 04:51:00,O,Our,5,1992
Alejandro Escovedo,Always A Friend,2020-12-14 04:56:00,A,Always,4,2008
Stevie Wonder,Golden Lady,2020-12-14 05:00:00,G,Golden,5,1973
The Beatles,Get Back,2020-12-14 05:05:00,G,Get,2,1969
Creedence Clearwater Revival,Proud Mary,2020-12-14 05:07:00,P,Proud,4,1973
Todd Rundgren,Can We Still Be Friends,2020-12-14 05:11:00,C,Can,4,1978
Oasis,Live Forever,2020-12-14 05:15:00,L,Live,5,1994
The Beatles,She Said She Said,2020-12-14 05:20:00,S,She,2,1966
James Taylor,You've Got A Friend,2020-12-14 05:22:00,Y,You've,5,1971
Rush,Working Man,2020-12-14 05:27:00,W,Working,8,1969
John Hiatt,Have A Little Faith In Me,2020-12-14 05:35:00,H,Have,4,1994
Black Pumas,Colors,2020-12-14 05:39:00,C,Colors,4,2019
Tom Petty & The Heartbreakers,Here Comes My Girl,2020-12-14 05:43:00,H,Here,4,1979
Big Country,In A Big Country,2020-12-14 05:47:00,I,In,5,1985
Earth Wind & Fire,Shining Star,2020-12-14 05:52:00,S,Shining,3,1975
Whitney Houston,I Will Always Love You,2020-12-14 05:55:00,I,I,5,1999
Van Morrison,And It Stoned Me,2020-12-14 06:00:00,A,And,5,1970
Ten Years After,I'd Love To Change The World,2020-12-14 06:05:00,I,I'd,6,1971
Jimmy Cliff,Many Rivers To Cross,2020-12-14 06:11:00,M,Many,3,1969
Elvis Costello,Pump It Up,2020-12-14 06:14:00,P,Pump,3,1978
Elton John,Amoreena,2020-12-14 06:17:00,A,Amoreena,10,1970
Bob Dylan,Idiot Wind,2020-12-14 06:27:00,I,Idiot,7,1975
The Black Keys,Gold On The Ceiling,2020-12-14 06:34:00,G,Gold,6,2011
The Avett Brothers,No Hard Feelings,2020-12-14 06:40:00,N,No,5,2016
Arcade Fire,The Suburbs,2020-12-14 06:45:00,T,The,8,2010
The Allman Brothers Band,Soulshine,2020-12-14 06:53:00,S,Soulshine,7,1994
Prince,Little Red Corvette,2020-12-14 07:00:00,L,Little,5,1982
Lizzo,Juice,2020-12-14 07:05:00,J,Juice,5,2019
Florence And The Machine,Dog Days Are Over,2020-12-14 07:10:00,D,Dog,4,2010
The Church,Under The Milky Way,2020-12-14 07:14:00,U,Under,8,1988
The Chambers Brothers,Time Has Come Today,2020-12-14 07:22:00,T,Time,12,1967
Bob Marley & The Wailers,Exodus,2020-12-14 07:34:00,E,Exodus,8,1990
Santana,Black Magic Woman/Gypsy Queen,2020-12-14 07:42:00,B,Black,6,1970
The Kinks,Days,2020-12-14 07:48:00,D,Days,6,1970
John Lennon,Love,2020-12-14 07:54:00,L,Love,3,1988
The Romantics,What I Like About You,2020-12-14 07:57:00,W,What,3,1989
Steve Goodman,City Of New Orleans,2020-12-14 08:00:00,C,City,4,1971
Buddy Holly,That'll Be The Day,2020-12-14 08:04:00,T,That'll,6,1958
Pearl Jam,Jeremy,2020-12-14 08:10:00,J,Jeremy,5,1992
Steely Dan,Peg,2020-12-14 08:15:00,P,Peg,6,1977
Led Zeppelin,Rock And Roll,2020-12-14 08:21:00,R,Rock,4,1970
k. d. lang,Hallelujah,2020-12-14 08:25:00,H,Hallelujah,5,0
Jimi Hendrix,Star Spangled Banner,2020-12-14 08:30:00,S,Star,4,1971
Dire Straits,Walk Of Life,2020-12-14 08:34:00,W,Walk,7,1978
The Philadelphia Orchestra,Clair De Lune,2020-12-14 08:41:00,C,Clair,5,1984
Stevie Wonder,Isn't She Lovely,2020-12-14 08:46:00,I,Isn't,9,1976
Bob Marley & The Wailers,Jamming,2020-12-14 08:55:00,J,Jamming,3,1977
Adele,Set Fire to the Rain,2020-12-14 08:58:00,S,Set,5,2011
Van Morrison,Have I Told You Lately,2020-12-14 09:03:00,H,Have,4,1989
The Temptations,Ain't Too Proud To Beg,2020-12-14 09:07:00,A,Ain't,4,1966
Taylor Swift,All Too Well,2020-12-14 09:11:00,A,All,5,2012
Sufjan Stevens,Casimir Pulaski Day,2020-12-14 09:16:00,C,Casimir,7,2005
Stevie Wonder,I Was Made To Love Her,2020-12-14 09:23:00,I,I,2,1968
The Pogues,If I Should Fall From Grace With God,2020-12-14 09:25:00,I,If,4,1987
Jackson 5,I Want You Back,2020-12-14 09:29:00,I,I,3,1969
INXS,Don't Change,2020-12-14 09:32:00,D,Don't,5,1982
Grateful Dead,Dark Star,2020-12-14 09:37:00,D,Dark,24,1968
Fleetwood Mac,Never Going Back Again,2020-12-14 10:01:00,N,Never,2,1977
Amy Winehouse,Love Is A Losing Game,2020-12-14 10:03:00,L,Love,2,2006
The Pretenders,Brass In Pocket,2020-12-14 10:05:00,B,Brass,5,1988
Oasis,Wonderwall,2020-12-14 10:10:00,W,Wonderwall,5,1996
Iggy Pop,Lust For Life,2020-12-14 10:15:00,L,Lust,5,1990
Phosphorescent,Song for Zula,2020-12-14 10:20:00,S,Song,6,2013
Lynyrd Skynyrd,Sweet Home Alabama,2020-12-14 10:26:00,S,Sweet,7,1976
Adele,Someone Like You,2020-12-14 10:33:00,S,Someone,4,2011
Band Of Horses,The Funeral,2020-12-14 10:37:00,T,The,7,2006
Radiohead,Everything In Its Right Place,2020-12-14 10:44:00,E,Everything,4,2000
The O'Jays,Love Train,2020-12-14 10:48:00,L,Love,5,1990
Joni Mitchell,Amelia,2020-12-14 10:53:00,A,Amelia,7,1976
Grateful Dead,Fire On The Mountain,2020-12-14 11:00:00,F,Fire,4,1981
Stevie Wonder,My Cherie Amour,2020-12-14 11:04:00,M,My,3,1970
The Shirelles,Will You Still Love Me Tomorrow,2020-12-14 11:07:00,W,Will,5,1960
Santana,Soul Sacrifice,2020-12-14 11:12:00,S,Soul,6,1985
The Rolling Stones,Time Waits For No One,2020-12-14 11:18:00,T,Time,9,1974
Joni Mitchell,All I Want,2020-12-14 11:27:00,A,All,4,1971
Neil Young,Everybody Knows This Is Nowhere,2020-12-14 11:31:00,E,Everybody,3,1969
Joni Mitchell,Song for Sharon,2020-12-14 11:34:00,S,Song,10,1976
Genesis,Ripples,2020-12-14 11:44:00,R,Ripples,10,2007
Elton John,Don't Let The Sun Go Down On Me,2020-12-14 11:54:00,D,Don't,6,1983
Bruce Springsteen,Streets Of Philadelphia,2020-12-14 12:00:00,S,Streets,4,1992
Bob Marley & The Wailers,Buffalo Soldier,2020-12-14 12:04:00,B,Buffalo,6,1983
The Beach Boys,California Girls,2020-12-14 12:10:00,C,California,3,1965
The Velvet Underground,Rock & Roll,2020-12-14 12:13:00,R,Rock,4,1970
LCD Soundsystem,Dance Yrself Clean,2020-12-14 12:17:00,D,Dance,11,2010
Arcade Fire,Rebellion (Lies),2020-12-14 12:28:00,R,Rebellion,8,2004
