Title,Artist,Air Time
Ever Fallen In Love?,The Buzzcocks,2017-12-02 08:49:00
Evergreen (Love Theme from A Star Is Born),Barbra Streisand,2017-12-02 08:51:00
Every 1's A Winner,Hot Chocolate,2017-12-02 08:56:00
Every Day's A Lovely Day,Gulliver,2017-12-02 09:01:00
Every Kind Of People,Robert Palmer,2017-12-02 09:04:00
Every Night,Paul McCartney,2017-12-02 09:08:00
Every Picture Tells A Story,Rod Stewart,2017-12-02 09:11:00
Everybody Dance,Chic,2017-12-02 09:17:00
Everybody Knows,Willie Alexander And The Boom Boom Band,2017-12-02 09:25:00
Everybody Loves The Sunshine,Roy Ayers,2017-12-02 09:29:00
Everybody Plays The Fool,The Main Ingredient,2017-12-02 09:32:00
Everybody's A Star,The Kinks,2017-12-02 09:36:00
Everybody's Everything,Santana,2017-12-02 09:41:00
Everybody's Happy Nowadays,The Buzzcocks,2017-12-02 09:44:00
Everyone,Van Morrison,2017-12-02 09:47:00
Everyone's Gone To The Movies,Steely Dan,2017-12-02 09:51:00
Everything I Do Goin' Be Funky,Don Covay,2017-12-02 09:56:00
Everything I Do Gonna Be Funky,Lou Donaldson,2017-12-02 10:00:00
Everything Is Beautiful,Ray Stevens,2017-12-02 10:05:00
Everything's Coming Our Way,Santana,2017-12-02 10:12:00
Evil Woman,Electric Light Orchestra,2017-12-02 10:15:00
Ex-Lion Tamer,Wire,2017-12-02 10:19:00
Excitable Boy,Warren Zevon,2017-12-02 10:22:00
Exodus,Bob Marley & The Wailers,2017-12-02 10:25:00
Expansions,Lonnie Liston Smith,2017-12-02 10:32:00
Express,B. T. Express,2017-12-02 10:39:00
Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,2017-12-02 10:44:00
Eyes Of The World,Grateful Dead,2017-12-02 10:48:00
Face The Fire,Dan Fogelberg,2017-12-02 10:54:00
Factory,Bruce Springsteen,2017-12-02 11:00:00
Fade Away And Radiate,Blondie,2017-12-02 11:02:00
Fairies Wear Boots,Black Sabbath,2017-12-02 11:06:00
Fairytale In The Supermarket,The Raincoats,2017-12-02 11:14:00
Fall In Philadelphia,Hall & Oates,2017-12-02 11:17:00
Fallen Eagle,Stephen Stills,2017-12-02 11:21:00
Fallin' In Love,"Hamilton, Joe Frank & Reynolds",2017-12-02 11:24:00
Fallin' In Love,The Souther-Hillman-Furay Band,2017-12-02 11:27:00
Fallin' Rain,Link Wray,2017-12-02 11:31:00
Fame,David Bowie,2017-12-02 11:34:00
Family Affair,Sly & The Family Stone,2017-12-02 11:40:00
Famous Blue Raincoat,Leonard Cohen,2017-12-02 11:43:00
Fan Club,The Damned,2017-12-02 11:48:00
Fantastic Man,William Onyeabor,2017-12-02 11:53:00
Fantasy Satisfier,Spooky Tooth,2017-12-02 12:00:00
Far Away Eyes,The Rolling Stones,2017-12-02 12:05:00
Far East Man,George Harrison,2017-12-02 12:10:00
Fascination,David Bowie,2017-12-02 12:16:00
Fast Buck Freddie,Jefferson Starship,2017-12-02 12:22:00
Fat Man In The Bathtub,Little Feat,2017-12-02 12:26:00
Father & Son,Cat Stevens,2017-12-02 12:30:00
Father To Son,Queen,2017-12-02 12:34:00
Fear Is A Man's Best Friend,John Cale,2017-12-02 12:41:00
Fearless,Pink Floyd,2017-12-02 12:45:00
Feats Don't Fail Me Now,Little Feat,2017-12-02 12:51:00
Feel,Big Star,2017-12-02 12:56:00
Feel Flows,The Beach Boys,2017-12-02 13:00:00
Feel Like A Number,Bob Seger & The Silver Bullet Band,2017-12-02 13:05:00
Feel Like Makin' Love,Roberta Flack,2017-12-02 13:08:00
Feelin' Alright,Joe Cocker,2017-12-02 13:13:00
Feelin' Alright With The Crew,Nine Nine Nine,2017-12-02 13:18:00
Feeling That Way,Journey,2017-12-02 13:23:00
Feelings,Morris Albert,2017-12-02 13:27:00
Feels So Good,Chuck Mangione,2017-12-02 13:31:00
Fencewalk,Mandrill,2017-12-02 13:34:00
Ffun,Con Funk Shun,2017-12-02 13:42:00
Fight From The Inside,Queen,2017-12-02 13:48:00
Fight The Power (Parts 1 & 2),The Isley Brothers,2017-12-02 13:52:00
Find The Cost of Freedom,Crosby Stills Nash & Young,2017-12-02 13:58:00
Fingerprint File,The Rolling Stones,2017-12-02 14:00:00
Fins,Jimmy Buffett,2017-12-02 14:07:00
Fire,Ohio Players,2017-12-02 14:12:00
Fire,The Pointer Sisters,2017-12-02 14:17:00
Fire And Rain,James Taylor,2017-12-02 14:20:00
Fire And Water,Free,2017-12-02 14:25:00
Fire Eater,Three Dog Night,2017-12-02 14:29:00
Fire In The Hole,Steely Dan,2017-12-02 14:32:00
Fire On High,Electric Light Orchestra,2017-12-02 14:36:00
Fire On The Mountain,Grateful Dead,2017-12-02 14:42:00
First I Look At The Purse,The J. Geils Band,2017-12-02 14:46:00
Firth of Fifth,Genesis,2017-12-02 14:51:00
Fish,The Damned,2017-12-02 15:01:00
Fish And Whistle,John Prine,2017-12-02 15:03:00
Fisherman,The Congos,2017-12-02 15:06:00
Five Years,David Bowie,2017-12-02 15:15:00
Flaming Youth,Kiss,2017-12-02 15:20:00
Flashlight,Parliament,2017-12-02 15:23:00
Flat-Foot Flewzy,NRBQ,2017-12-02 15:30:00
Flight Time,Donald Byrd,2017-12-02 15:35:00
Flow Motion,Can,2017-12-02 15:44:00
Fly By Night,Rush,2017-12-02 15:48:00
Fly Like An Eagle,Steve Miller,2017-12-02 15:52:00
Fly Robin Fly,Silver Convention,2017-12-02 15:55:00
Flyin' High (In The Friendly Sky),Marvin Gaye,2017-12-02 16:01:00
Flyin' Shoes,Townes Van Zandt,2017-12-02 16:05:00
Flying,Strawbs,2017-12-02 16:10:00
Flying Saucer Blues,Joy Of Cooking,2017-12-02 16:15:00
Flying Turkey Trot,REO Speedwagon,2017-12-02 16:18:00
FM,Steely Dan,2017-12-02 16:22:00
Follow You Follow Me,Genesis,2017-12-02 16:27:00
Fool For The City,Foghat,2017-12-02 16:31:00
Fool In The Rain,Led Zeppelin,2017-12-02 16:35:00
Fool To Cry,The Rolling Stones,2017-12-02 16:42:00
Fool's Gold,Graham Parker,2017-12-02 16:47:00
Fooled Again (I Don't Like It),Tom Petty & The Heartbreakers,2017-12-02 16:51:00
Fooled Around & Fell In Love,Elvin Bishop,2017-12-02 16:56:00
Fools In Love,Joe Jackson,2017-12-02 17:01:00
Footstompin' Music,Grand Funk Railroad,2017-12-02 17:05:00
Fopp,Ohio Players,2017-12-02 17:11:00
For A Dancer,Jackson Browne,2017-12-02 17:15:00
For Everyman,Jackson Browne,2017-12-02 17:19:00
For The Good Times,Kris Kristofferson,2017-12-02 17:27:00
For The Love Of Money,The O'Jays,2017-12-02 17:30:00
For The Love Of You,John Holt,2017-12-02 17:34:00
For The Love Of You,The Isley Brothers,2017-12-02 17:37:00
For The Roses,Joni Mitchell,2017-12-02 17:44:00
For The Turnstiles,Neil Young,2017-12-02 17:48:00
For You,Bruce Springsteen,2017-12-02 17:51:00
For You,Greg Kihn,2017-12-02 17:57:00
For You Blue,The Beatles,2017-12-02 18:01:00
For Your Life,Led Zeppelin,2017-12-02 18:03:00
Foreplay / Long Time,Boston,2017-12-02 18:10:00
Forever Young,Bob Dylan,2017-12-02 18:20:00
Fountain Of Sorrow,Jackson Browne,2017-12-02 18:25:00
Four Sticks,Led Zeppelin,2017-12-02 18:32:00
Fourty Days,Billy Brooks,2017-12-02 18:37:00
Fox Hole,Television,2017-12-02 18:44:00
Fox On The Run,Sweet,2017-12-02 18:49:00
Foxy Foxy,Mott The Hoople,2017-12-02 18:52:00
Frankenstein,Edgar Winter Group,2017-12-02 18:56:00
Franklin's Tower,Grateful Dead,2017-12-02 19:01:00
Franz Schubert,Kraftwerk,2017-12-02 19:05:00
Freddie's Dead,Curtis Mayfield,2017-12-02 19:12:00
Frederick,Patti Smith,2017-12-02 19:17:00
Free Bird,Lynyrd Skynyrd,2017-12-02 19:21:00
Free Four,Pink Floyd,2017-12-02 19:31:00
Free Man In Paris,Joni Mitchell,2017-12-02 19:34:00
Free Money,Patti Smith,2017-12-02 19:37:00
Free Ride,Edgar Winter,2017-12-02 19:42:00
Free Ride,Nick Drake,2017-12-02 19:45:00
Freeway Jam,Jeff Beck,2017-12-02 19:48:00
Frenchette,David Johansen,2017-12-02 19:55:00
Fresh Air,Quicksilver Messenger Service,2017-12-02 20:00:00
Friction,Television,2017-12-02 20:06:00
Friend Of The Devil,Grateful Dead,2017-12-02 20:12:00
Friends,Led Zeppelin,2017-12-02 20:15:00
Friends & Strangers,Ronnie Laws,2017-12-02 20:19:00
Frightened,The Fall,2017-12-02 20:25:00
From A Whisper To A Scream,Robert Palmer,2017-12-02 20:30:00
From The Beginning,Emerson Lake & Palmer,2017-12-02 20:34:00
From The Morning,Nick Drake,2017-12-02 20:37:00
From The Sun To The World,Electric Light Orchestra,2017-12-02 20:41:00
Frustrated,The Knack,2017-12-02 20:49:00
Full Force Gale,Van Morrison,2017-12-02 20:52:00
Full Moon Turn My Head Around,Off Broadway,2017-12-02 20:56:00
Full Of Fire,Al Green,2017-12-02 21:00:00
Fundamentally Yours,Stackridge,2017-12-02 21:05:00
Funeral For A Friend/Love Lies Bleeding,Elton John,2017-12-02 21:10:00
Funk #49,James Gang,2017-12-02 21:20:00
Funkentelechy,Parliament,2017-12-02 21:24:00
Funkier Than A Mosquito's Tweeter,Ike & Tina Turner,2017-12-02 21:36:00
Funky,Chambers Brothers,2017-12-02 21:39:00
Funky But Chic,David Johansen,2017-12-02 21:41:00
Funky Drummer,James Brown,2017-12-02 21:45:00
Funky Kingston,Toots & The Maytals,2017-12-02 21:55:00
Funky Music (Is A Part Of Me),Luther,2017-12-02 22:00:00
Funky Music Sho' Nuff Turns Me On,Edwin Starr,2017-12-02 22:06:00
Funky Nassau,The Beginning Of The End,2017-12-02 22:10:00
Funky President,James Brown,2017-12-02 22:13:00
Funky Pretty,The Beach Boys,2017-12-02 22:17:00
Funky Stuff,Kool & The Gang,2017-12-02 22:21:00
Funky Worm,Ohio Players,2017-12-02 22:25:00
Funkytown,"Lipps, Inc.",2017-12-02 22:28:00
Funny How Love Is,Queen,2017-12-02 22:32:00
Funtime,Iggy Pop,2017-12-02 22:34:00
Future Games,Fleetwood Mac,2017-12-02 22:39:00
Future Shock,Curtis Mayfield,2017-12-02 22:47:00
Future Shock,The Hello People,2017-12-02 22:52:00
Gamblin' Man,Bonnie Raitt,2017-12-02 22:56:00
Games People Play,The Spinners,2017-12-02 23:00:00
Garden Party,Ricky Nelson,2017-12-02 23:07:00
Gasoline Alley,Rod Stewart,2017-12-02 23:11:00
Gator Country,Molly Hatchet,2017-12-02 23:16:00
Generation Landslide,Alice Cooper,2017-12-02 23:22:00
Georgia On My Mind,Willie Nelson,2017-12-02 23:27:00
Georgy Porgy,Toto,2017-12-02 23:31:00
Get 'em Out By Friday,Genesis,2017-12-02 23:35:00
Get Back,The Beatles,2017-12-02 23:44:00
Get Closer,Seals & Crofts,2017-12-02 23:47:00
Get Down,Curtis Mayfield,2017-12-02 23:51:00
Get Down,War,2017-12-02 23:55:00
Get Down And Get With It,Slade,2017-12-03 00:00:00
Get Down Tonight,KC and the Sunshine Band,2017-12-03 00:04:00
"Get Down, Get Down",Joe Simon,2017-12-03 00:07:00
"Get Down, Make Love",Queen,2017-12-03 00:11:00
Get It Right The First Time,Billy Joel,2017-12-03 00:15:00
Get It While You Can,Janis Joplin,2017-12-03 00:19:00
"Get Me Back On Time, Engine Number 9",Wilson Pickett,2017-12-03 00:23:00
Get Off,Foxy,2017-12-03 00:29:00
Get On The Good Foot,James Brown,2017-12-03 00:33:00
Get Out Of Denver,Bob Seger,2017-12-03 00:38:00
Get Out Of My Life Woman,Mighty Diamonds,2017-12-03 00:41:00
Get Over You,The Undertones,2017-12-03 00:44:00
Get Ready,Eric Clapton,2017-12-03 00:48:00
Get Ready For The Get Down,Willie Hutch,2017-12-03 00:52:00
Get Rhythm,NRBQ,2017-12-03 00:56:00
Get The Funk Out Ma Face,Brothers Johnson,2017-12-03 01:00:00
Get Up & Get Down,The Dramatics,2017-12-03 01:06:00
Get Up I Feel Like Being A Sex Machine,James Brown,2017-12-03 01:09:00
Get Up Offa That Thing,James Brown,2017-12-03 01:15:00
"Get Up, Get Into It, And Get Involved",James Brown,2017-12-03 01:19:00
"Get Up, Stand Up",Bob Marley & The Wailers,2017-12-03 01:26:00
Get Used To It,Roger Voudouris,2017-12-03 01:30:00
Getaway,Earth Wind & Fire,2017-12-03 01:32:00
Gettin' In Tune,The Who,2017-12-03 01:37:00
Ghost Dance,Patti Smith,2017-12-03 01:41:00
Ghost Rider,Suicide,2017-12-03 01:46:00
Ghostwriter,Garland Jeffreys,2017-12-03 01:50:00
Gimme Back My Bullets,Lynyrd Skynyrd,2017-12-03 01:55:00
Gimme Danger,Iggy & The Stooges,2017-12-03 01:59:00
Gimme Dat Ding,The Pipkins,2017-12-03 02:02:00
Gimme Gimme Shock Treatment,The Ramones,2017-12-03 02:04:00
Gimme Shelter,Merry Clayton,2017-12-03 02:06:00
Gimme Some Truth,John Lennon,2017-12-03 02:10:00
Gimme The Goods,Boz Scaggs,2017-12-03 02:13:00
Gimme Three Steps,Lynyrd Skynyrd,2017-12-03 02:17:00
Gimme Your Money Please,Bachman-Turner Overdrive,2017-12-03 02:22:00
Girl Of My Dreams,Bram Tchaikovsky,2017-12-03 02:27:00
Girlfriend,The Modern Lovers,2017-12-03 02:31:00
Girls Don't Like It,The Undertones,2017-12-03 02:35:00
Girls Talk,Dave Edmunds,2017-12-03 02:37:00
Give A Little Bit,Supertramp,2017-12-03 02:40:00
Give It To Me,The J. Geils Band,2017-12-03 02:45:00
Give It Up,Curtis Mayfield,2017-12-03 02:51:00
Give It Up Or Let Me Go,Bonnie Raitt,2017-12-03 02:55:00
Give Me An Inch,Robert Palmer,2017-12-03 03:00:00
Give Me Just A Little More Time,Chairmen Of The Board,2017-12-03 03:03:00
Give Me Love,George Harrison,2017-12-03 03:07:00
Give Me Strength,Eric Clapton,2017-12-03 03:10:00
Give The People What They Want,The O'Jays,2017-12-03 03:13:00
Give Up The Funk (Tear The Roof Off The Sucker),Parliament,2017-12-03 03:16:00
Glad,Traffic,2017-12-03 03:23:00
Glad All Over,The Rezillos,2017-12-03 03:30:00
Glad And Sorry,Faces,2017-12-03 03:32:00
Glad Tidings,Van Morrison,2017-12-03 03:35:00
Glendale Train,New Riders Of The Purple Sage,2017-12-03 03:39:00
Gloria,Patti Smith,2017-12-03 03:43:00
Glory,Television,2017-12-03 03:48:00
Go All The Way,The Raspberries,2017-12-03 03:53:00
Go Away Little Girl,Donny Osmond,2017-12-03 03:57:00
Go Back Home,Stephen Stills,2017-12-03 03:59:00
Go Your Own Way,Fleetwood Mac,2017-12-03 04:06:00
God,John Lennon,2017-12-03 04:09:00
God Gave Rock And Roll To You,Argent,2017-12-03 04:13:00
God Is Love,Marvin Gaye,2017-12-03 04:20:00
God Save The Queen,The Sex Pistols,2017-12-03 04:22:00
Godzilla,Blue Oyster Cult,2017-12-03 04:25:00
Goin' Back,Nils Lofgren,2017-12-03 04:29:00
Goin' Down To Laurel,Steve Forbert,2017-12-03 04:33:00
Goin' To Acapulco,Bob Dylan And The Band,2017-12-03 04:38:00
Going Down,Freddie King,2017-12-03 04:43:00
Going Down,Jeff Beck,2017-12-03 04:46:00
Going For The One,Yes,2017-12-03 04:54:00
Going Mobile,The Who,2017-12-03 05:00:00
Going To California,Led Zeppelin,2017-12-03 05:04:00
Going To The Country,Steve Miller Band,2017-12-03 05:07:00
"Going, Going, Gone",Bob Dylan,2017-12-03 05:11:00
Gold,John Stewart,2017-12-03 05:15:00
Gold Dust Woman,Fleetwood Mac,2017-12-03 05:19:00
Golden Lady,Stevie Wonder,2017-12-03 05:24:00
Golden Years,David Bowie,2017-12-03 05:29:00
Golf Girl,Caravan,2017-12-03 05:33:00
Gone At Last,Paul Simon,2017-12-03 05:38:00
Gone Dead Train,Crazy Horse,2017-12-03 05:42:00
Gone Gone Gone,Bad Company,2017-12-03 05:46:00
Gonna Change My Way Of Thinking,Bob Dylan,2017-12-03 05:50:00
Good Company,Queen,2017-12-03 05:56:00
Good Day In Hell,The Eagles,2017-12-03 06:00:00
Good Enough,Bonnie Raitt,2017-12-03 06:05:00
Good Girls Don't,The Knack,2017-12-03 06:08:00
Good Love,Isaac Hayes,2017-12-03 06:12:00
Good Lovin',Grateful Dead,2017-12-03 06:17:00
Good Morning Heartache,Diana Ross,2017-12-03 06:23:00
Good Morning Little School Girl,Muddy Waters,2017-12-03 06:25:00
Good News,The American Dream,2017-12-03 06:28:00
Good Rocking Tonight,Montrose,2017-12-03 06:32:00
Good Times,Chic,2017-12-03 06:37:00
Good Times Roll,The Cars,2017-12-03 06:45:00
Good Vibrations,Todd Rundgren,2017-12-03 06:49:00
Goodbye Girl,Squeeze,2017-12-03 06:53:00
Goodbye Pork Pie Hat,Jeff Beck,2017-12-03 06:56:00
Goodbye Stranger,Supertramp,2017-12-03 07:02:00
Goodbye To Love,The Carpenters,2017-12-03 07:08:00
Goodbye Toulouse,The Stranglers,2017-12-03 07:13:00
Goodbye Yellow Brick Road,Elton John,2017-12-03 07:16:00
Goon Squad,Elvis Costello,2017-12-03 07:19:00
Got No Place To Go,John Hartford,2017-12-03 07:24:00
Got The Love,Average White Band,2017-12-03 07:28:00
Got The Time,Joe Jackson,2017-12-03 07:32:00
Got To Get You Into My Life,Earth Wind & Fire,2017-12-03 07:34:00
Got To Give It Up,Marvin Gaye,2017-12-03 07:41:00
Gotta Find A Way,Bloodrock,2017-12-03 07:53:00
Gotta Get Up,Harry Nilsson,2017-12-03 08:00:00
Gotta Serve Somebody,Bob Dylan,2017-12-03 08:03:00
Government Center,The Modern Lovers,2017-12-03 08:08:00
Grandma's Hands,Bill Withers,2017-12-03 08:11:00
Grandmother's Song,Steve Martin,2017-12-03 08:13:00
Grease,Frankie Valli,2017-12-03 08:16:00
Great White Buffalo,Ted Nugent,2017-12-03 08:19:00
Greatest Story Ever Told,Bob Weir,2017-12-03 08:27:00
Green Earrings,Steely Dan,2017-12-03 08:31:00
Green Grass & High Tides,The Outlaws,2017-12-03 08:37:00
Green Onions,Roy Buchanan,2017-12-03 08:47:00
Green Shirt,Elvis Costello,2017-12-03 08:56:00
Green-Eyed Lady,Sugarloaf,2017-12-03 08:59:00
Groove Me,King Floyd,2017-12-03 09:06:00
Groupie,New Riders Of The Purple Sage,2017-12-03 09:10:00
Grow Some Funk Of Your Own,Elton John,2017-12-03 09:14:00
Growing Up,Bruce Springsteen,2017-12-03 09:18:00
Growing Up And I'm Fine,Mick Ronson,2017-12-03 09:22:00
Guilty,Randy Newman,2017-12-03 09:26:00
Guns On The Roof,The Clash,2017-12-03 09:28:00
Gunsmoke,The Outlaws,2017-12-03 09:31:00
Gut Feeling/Slap Your Mammy,Devo,2017-12-03 09:37:00
Gypsy Man,War,2017-12-03 09:42:00
"Gypsys, Tramps & Thieves",Cher,2017-12-03 09:47:00
Had I Known you Better Then,Hall & Oates,2017-12-03 09:49:00
Had Me A Real Good Time,Faces,2017-12-03 09:54:00
Hair,Graham Central Station,2017-12-03 10:01:00
Haitian Divorce,Steely Dan,2017-12-03 10:06:00
Half Breed,Cher,2017-12-03 10:14:00
Half Moon,Janis Joplin,2017-12-03 10:16:00
Hallelujah,Sweathog,2017-12-03 10:20:00
Hammond Song,The Roches,2017-12-03 10:26:00
Hand Me Down World,The Guess Who,2017-12-03 10:31:00
Hand Of Doom,Black Sabbath,2017-12-03 10:34:00
Hand Of Fate,The Rolling Stones,2017-12-03 10:43:00
Hang Onto Yourself,David Bowie,2017-12-03 10:47:00
Hangin' Round,Lou Reed,2017-12-03 10:50:00
Hanging On The Telephone,Blondie,2017-12-03 10:55:00
Hanging On The Telephone,The Nerves,2017-12-03 10:57:00
Happiness Is Just Around The Bend,Brian Auger's Oblivion Express,2017-12-03 11:00:00
Happy,The Rolling Stones,2017-12-03 11:07:00
Happy Together,Frank Zappa & The Mothers,2017-12-03 11:13:00
Hard Luck Woman,Kiss,2017-12-03 11:15:00
Hard Times,Boz Scaggs,2017-12-03 11:19:00
Hard Times of Old England,Steeleye Span,2017-12-03 11:23:00
Hard To Get,The Rubinoos,2017-12-03 11:30:00
Hard Work,John Handy,2017-12-03 11:33:00
Harlem River Drive,Bobbi Humphrey,2017-12-03 11:36:00
Harry Truman,Chicago,2017-12-03 11:49:00
Harvest,Neil Young,2017-12-03 11:53:00
Harvest For The World,The Isley Brothers,2017-12-03 11:56:00
Hasten Down The Wind,Warren Zevon,2017-12-03 12:00:00
Hateful,The Clash,2017-12-03 12:03:00
Have A Cigar,Pink Floyd,2017-12-03 12:06:00
Have A Good Time,Paul Simon,2017-12-03 12:12:00
Have A Talk With God,Stevie Wonder,2017-12-03 12:15:00
Have You Ever Seen The Rain?,Creedence Clearwater Revival,2017-12-03 12:25:00
Have You Never Been Mellow,Olivia Newton-John,2017-12-03 12:28:00
Have You Seen Her,The Chi-Lites,2017-12-03 12:31:00
Have You Seen The Stars Tonight,Jefferson Starship,2017-12-03 12:37:00
Haven't Got Time For The Pain,Carly Simon,2017-12-03 12:41:00
Hazey Jane I,Nick Drake,2017-12-03 12:45:00
Hazy Jane II,Nick Drake,2017-12-03 12:49:00
He Called Me Baby,Candi Staton,2017-12-03 12:54:00
He Don't Love You (Like I Love You),Tony Orlando and Dawn,2017-12-03 12:57:00
He'll Have To Go,Ry Cooder,2017-12-03 13:01:00
He's A Whore,Cheap Trick,2017-12-03 13:06:00
He's Gonna Step On You Again,John Kongos,2017-12-03 13:11:00
He's Got All The Whisky,Bobby Charles,2017-12-03 13:15:00
He's Mistra Know It All,Stevie Wonder,2017-12-03 13:20:00
He's The Greatest Dancer,Sister Sledge,2017-12-03 13:25:00
Head First,The Babys,2017-12-03 13:32:00
Head Held High,The Velvet Underground,2017-12-03 13:36:00
Head To The Sky,Earth Wind & Fire,2017-12-03 13:39:00
Hearsay,The Soul Children,2017-12-03 13:44:00
Heart Broken Bopper,The Guess Who,2017-12-03 13:50:00
Heart Hotels,Dan Fogelberg,2017-12-03 13:55:00
Heart Like A Wheel,Kate & Anna McGarrigle,2017-12-03 13:59:00
Heart Of Glass,Blondie,2017-12-03 14:02:00
Heart Of Gold,Neil Young,2017-12-03 14:08:00
Heart Of The City,Nick Lowe,2017-12-03 14:12:00
Heart Of The Country,Paul McCartney,2017-12-03 14:14:00
Heart Of The Sunrise,Yes,2017-12-03 14:17:00
Heartache Tonight,The Eagles,2017-12-03 14:27:00
Heartaches,The Dictators,2017-12-03 14:32:00
Heartbreaker,Grand Funk Railroad,2017-12-03 14:36:00
Heat Treatment,Graham Parker,2017-12-03 14:43:00
Heat Wave,The Jam,2017-12-03 14:46:00
Heatwave,Linda Ronstadt,2017-12-03 14:48:00
Heatwave,XTC,2017-12-03 14:51:00
Heaven,Talking Heads,2017-12-03 14:55:00
Heaven Is A Zillion Light Years Away,Stevie Wonder,2017-12-03 14:59:00
Heaven Must Be Missing An Angel,Tavares,2017-12-03 15:04:00
Heaven Tonight,Cheap Trick,2017-12-03 15:11:00
Heavy Connection,Van Morrison,2017-12-03 15:18:00
Heavy Makes You Happy (sha-na-boom Boom),The Staple Singers,2017-12-03 15:23:00
Hejira,Joni Mitchell,2017-12-03 15:26:00
Helen Wheels,Paul McCartney & Wings,2017-12-03 15:33:00
Helicopter,XTC,2017-12-03 15:36:00
Hell's Bells,Bill Bruford,2017-12-03 15:40:00
Hello Darlin',Conway Twitty,2017-12-03 15:45:00
Hello In There,Joan Baez,2017-12-03 15:47:00
Hello In There,John Prine,2017-12-03 15:50:00
Hello It's Me,Todd Rundgren,2017-12-03 15:55:00
Hello Mary Lou,Creedence Clearwater Revival,2017-12-03 15:59:00
Hello Old Friend,Eric Clapton,2017-12-03 16:01:00
Help Me,Joni Mitchell,2017-12-03 16:08:00
Help Me Make It Through The Night,Kris Kristofferson,2017-12-03 16:11:00
Help Me Thru The Night,Joe Walsh,2017-12-03 16:14:00
Help Yourself,The Undisputed Truth,2017-12-03 16:17:00
Help!,The Carpenters,2017-12-03 16:20:00
Helpless,Crosby Stills Nash & Young,2017-12-03 16:24:00
Helpless,The Band,2017-12-03 16:27:00
Henry,New Riders Of The Purple Sage,2017-12-03 16:32:00
Her Eyes Are A Blue Million Miles,Captain Beefheart,2017-12-03 16:35:00
Here Come The Martian Martians,Jonathan Richman And The Modern Lovers,2017-12-03 16:38:00
Here Come Those Tears Again,Jackson Browne,2017-12-03 16:42:00
Here Comes My Girl,Tom Petty & The Heartbreakers,2017-12-03 16:45:00
Here Comes The Summer,The Undertones,2017-12-03 16:50:00
Here Comes The Sun,Richie Havens,2017-12-03 16:51:00
Here Comes The Weekend,The Jam,2017-12-03 16:55:00
Here Comes Trouble,Tuff Darts,2017-12-03 16:59:00
Here He Comes,Brian Eno,2017-12-03 17:01:00
Here I Am (Come And Take Me),Al Green,2017-12-03 17:07:00
Here To Love You,The Doobie Brothers,2017-12-03 17:12:00
Heroes,David Bowie,2017-12-03 17:16:00
Heroes Are Hard To Find,Fleetwood Mac,2017-12-03 17:22:00
Heroin,Lou Reed,2017-12-03 17:28:00
Hey Big Brother,Rare Earth,2017-12-03 17:40:00
"Hey Hey, My My (Into the Black)",Neil Young,2017-12-03 17:45:00
Hey Little Girl,Dead Boys,2017-12-03 17:52:00
"Hey Mister, That's Me Up On The Jukebox",James Taylor,2017-12-03 17:55:00
Hey Negrita,The Rolling Stones,2017-12-03 17:59:00
Hey Pocky Way,The Meters,2017-12-03 18:04:00
Hey Saint Peter,Flash And The Pan,2017-12-03 18:09:00
Hey Tonight,Creedence Clearwater Revival,2017-12-03 18:12:00
Hey You,Bachman-Turner Overdrive,2017-12-03 18:16:00
Hey You,Pink Floyd,2017-12-03 18:20:00
Hi Hi Hi,Paul McCartney & Wings,2017-12-03 18:24:00
Hi Roller,Little Feat,2017-12-03 18:28:00
Hidden Treasure,Traffic,2017-12-03 18:31:00
High Tension Wire,Dead Boys,2017-12-03 18:36:00
High Time We Went,Joe Cocker,2017-12-03 18:39:00
Higher Ground,Stevie Wonder,2017-12-03 18:43:00
Higher Plane,Kool & The Gang,2017-12-03 18:47:00
Highway Song,Blackfoot,2017-12-03 18:52:00
Highway Star,Deep Purple,2017-12-03 18:59:00
Highway To Hell,AC/DC,2017-12-03 19:05:00
Hissing Of Summer Lawns,Joni Mitchell,2017-12-03 19:09:00
Hit It And Quit It,Funkadelic,2017-12-03 19:13:00
Hit Me With Your Rhythm Stick,Ian Dury & The Blockheads,2017-12-03 19:17:00
Hitchin' A Ride,Vanity Fare,2017-12-03 19:21:00
Hocus Pocus,Focus,2017-12-03 19:24:00
Hoedown,Emerson Lake & Palmer,2017-12-03 19:32:00
Hold Back The Night,The Trammps,2017-12-03 19:36:00
Hold On,Ian Gomm,2017-12-03 19:39:00
Hold On,Steve Winwood,2017-12-03 19:42:00
Hold Your Head Up,Argent,2017-12-03 19:48:00
Holdin' On To Yesterday,Ambrosia,2017-12-03 19:54:00
Holding On (When Love Is Gone),L.T.D.,2017-12-03 19:59:00
Hole In My Life,The Police,2017-12-03 20:02:00
Holiday Inn,Elton John,2017-12-03 20:09:00
Holidays In The Sun,Sex Pistols,2017-12-03 20:13:00
Hollywood,Boz Scaggs,2017-12-03 20:16:00
Hollywood Nights,Bob Seger & The Silver Bullet Band,2017-12-03 20:19:00
Hollywood Swinging,Kool & The Gang,2017-12-03 20:24:00
Home,Karla Bonoff,2017-12-03 20:30:00
Home Again,Carole King,2017-12-03 20:34:00
Home At Last,Steely Dan,2017-12-03 20:37:00
Homegrown,Neil Young,2017-12-03 20:42:00
Hometown Blues,Tom Petty & The Heartbreakers,2017-12-03 20:44:00
