Title,Artist,Year
Lonely Teardrops,Jackie Wilson,1959
Lonesome,Dr. Dog,2012
Lonesome Day,Bruce Springsteen,2002
Long Ago And Far Away,James Taylor,1971
Long As I Can See The Light,Creedence Clearwater Revival,1970
Long Distance Call,Phoenix,2006
Long Distance Love,Little Feat,1975
Long Distance Runaround,Yes,1971
Long Hot Summer,The Style Council,1983
Long Live Rock,The Who,1974
Long May You Run,The Stills-Young Band,1976
Long Road,Junior Reid,1991
Long Tall Sally,Little Richard,1967
Long Time Gone,Billie Joe + Norah,2013
Long Time Gone,Crosby Stills & Nash,1969
Long Way Home,Tom Waits,2002
Longer,Lydia Loveless,2016
Longing In Their Hearts,Bonnie Raitt,1994
Look Back In Anger,David Bowie,1979
Look It Here,Nathaniel Rateliff & The Night Sweats,2013
Look Out For My Love,Neil Young,1978
Look Sharp,Joe Jackson,1979
Look The Other Way,Justin Townes Earle,2012
Look What You've Done For Me,Al Green,1984
Lookin' For A Love,Bobby Womack,1973
Looking At The Sun,Matthew Sweet,1991
Looking For Clues,Robert Palmer,1980
Looking For The Summer,Chris Rea,1989
Lookout Joe,Neil Young,1975
Looks Like Rain,Bob Weir,2004
Lose Again,Linda Ronstadt,1976
Loser,Beck,1993
Losing My Religion,R. E. M.,1991
Lost In My Mind,The Head And The Heart,2010
Lost In The Flood,Bruce Springsteen,1973
Lost In The Supermarket,The Clash,1979
Lost Together,Blue Rodeo,1992
Lost Weekend,Pete Yorn,2016
Lost!,Coldplay,2000
Lotta Love,Neil Young,1978
Lotus,R. E. M.,1998
Loud Places,Jamie xx,2015
Louie Louie,The Kingsmen,1963
Louisiana 1927,Randy Newman,1974
Love,G Love,1994
Love & Hate,Michael Kiwanuka,2016
Love (can Make You Happy),Mercy,1969
Love Ain't For Keeping,The Who,1971
Love And Affection,Joan Armatrading,1991
Love And Happiness,Al Green,1972
Love And Happiness,Toots Hibbert,1988
Love At The Five & Dime,Nanci Griffith,1986
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1970
Love Hangover,Diana Ross,1976
Love Has No Pride,Bonnie Raitt,1972
Love Her Madly,The Doors,1971
Love Hurts,Nazareth,1974
Love Hurts,Gram Parsons,1974
Love In A Trashcan,The Raveonettes,2005
Love In Action,Utopia,1977
Love In Vain,The Rolling Stones,1969
Love In An Elevator,Aerosmith,1987
Love Is,Kate & Anna McGarrigle,1990
Love Is Blue,Paul Mauriat,1973
Love Is A Good Thing,Sheryl Crow,1996
Love Is A Losing Game,Amy Winehouse,2006
Love Is Alive,Gary Wright,1975
Love Is All Around,The Troggs,1967
Love Is Everything,Jane Siberry,1993
Love Is Like An Itching In My Heart,The Supremes,1966
Love Is Like Oxygen,Sweet,1980
Love Is Strange,Mickey & Sylvia,1957
Love Is The Answer,Utopia,1977
Love Is The Drug,Roxy Music,1977
Love Is The Seventh Wave,Sting,1985
Love Jones,Brighter Side Of Darkness,1972
Love Letter,Bonnie Raitt,1989
Love Me Do,The Beatles,1962
Love Me Like A Man,Bonnie Raitt,1972
Love Me Tomorrow,Boz Scaggs,1976
Love Me Two Times,The Doors,1967
Love Minus Zero / No Limit,Bob Dylan,1965
Love My Way,Psychedelic Furs,1982
Love of my Life,Santana,1999
Love Of The Common Man,Todd Rundgren,1978
Love Or Confusion,Jimi Hendrix,1967
Love Plus One,Haircut One Hundred,1982
Love Potion Number Nine,The Searchers,1963
Love Reign O'er Me,The Who,1979
Love Rollercoaster,Ohio Players,1975
Love Rollercoaster,Red Hot Chili Peppers,1996
Love Shack,B-52's,1989
Love Sneakin' Up On You,Bonnie Raitt,1994
Love Song,Elton John,1970
Love Song,Sara Bareilles,2007
Love Struck Baby,Stevie Ray Vaughan,1983
Love The One You're With,Stephen Stills,1970
Love TKO,Teddy Pendergrass,1980
Love To Love You Baby,Donna Summer,1978
Love Train,The O'Jays,1983
Love Vigilantes,Iron And Wine,2006
Love Vigilantes,New Order,1985
Love Will Find A Way,Pablo Cruise,1978
Love Will Tear Us Apart,Joy Division,1980
Love Won't Let Me Wait,Major Harris,1975
Love Without Anger,Devo,1981
Lovefool,The Cardigans,1996
Lovely Day,Bill Withers,1977
Lovely Rita,The Beatles,1967
Lover Lover Lover,Leonard Cohen,1974
Lover of the Light,Mumford & Sons,2012
"Lover, You Should've Come Over",Jeff Buckley,1994
Lovers In A Dangerous Time,Bruce Cockburn,1984
Lovers In Japan,Coldplay,2008
Lover's Rock,The Clash,1979
Love's In Need of Love Today,Stevie Wonder,1976
Loves Me Like A Rock,Paul Simon,1973
Love's Theme,Love Unlimited Orchestra,1973
Lovesong,The Cure,1989
Lovin' In My Baby's Eyes,Taj Mahal,1996
Loving Cup,The Rolling Stones,1972
Low,Cracker,1993
Low Budget,The Kinks,1979
Low Rider,War,1976
Low Spark Of High-heeled Boys,Traffic,1971
Lowdown,Boz Scaggs,1977
Lowdown,My Morning Jacket,2001
Lucille,Little Richard,1957
Luck Of The Draw,Bonnie Raitt,1991
Lucky Man,Emerson Lake & Palmer,1971
Lucretia Macevil,Blood Sweat & Tears,1972
Luka,Suzanne Vega,1987
Luka,The Lemonheads,1989
Lust For Life,Iggy Pop,1977
Mack The Knife,Bobby Darin,1959
Mad Man Moon,Genesis,1976
Mad Mission,Patty Griffin,1996
Mad World,Gary Jules,2001
Mad World,Tears For Fears,1982
Madison Blues,Elmore James,1989
Madman Across The Water,Elton John,1971
Maggie May,Rod Stewart,1972
Maggie's Farm,Bob Dylan,1966
Magic,Coldplay,2014
Magic Bus,The Who,1968
Magic Carpet Ride,Steppenwolf,1968
Magic Man,Heart,1976
Magic Number,De La Soul,1989
Magical Mystery Tour,The Beatles,1967
Magnet And Steel,Walter Egan,1978
Mahgeetah,My Morning Jacket,2003
Mainline Florida,Eric Clapton,1974
Mais Que Nada,Sergio Mendes & Brasil '66,1999
Make It Funky,James Brown,1971
Make It With You,Bread,1970
Make You Better,The Decemberists,2014
Make You Crazy,Brett Dennen,2008
Makes No Sense At All,Husker Du,1985
Makin' Whoopee,Dr. John,1989
Making Flippy Floppy,Talking Heads,1983
Making Plans For Nigel,XTC,1982
Making Time,The Creation,1967
Mama Roux,Dr. John,1968
Mama Said Knock You Out,LL Cool J,1991
Mama Say,The Heptones,1975
Mama Told Me Not To Come,Randy Newman,1970
Mama Tried,Grateful Dead,1971
Mama Tried,Merle Haggard,1991
Mama Used To Say,Junior,1982
Ma-ma-ma Belle,Electric Light Orchestra,1973
Mama's Always On Stage,Arrested Development,1992
Mama's Got A Girlfriend,Ben Harper,1992
Mambo Sun,T Rex,1971
Man Gave Names To All The Animals,Bob Dylan,1979
Man In Motion,Warren Haynes,2011
Man On The Moon,R. E. M.,1992
"Man Smart, Woman Smarter",Robert Palmer,1976
Man We Was Lonely,Paul McCartney,1970
Mandinka,Sinead O'Connor,1987
Mandolin Wind,Rod Stewart,1971
Manic Depression,Jimi Hendrix,1967
Manic Monday,Bangles,1985
Mannish Boy,Muddy Waters,1968
Mansard Roof,Vampire Weekend,2007
Many Rivers To Cross,Jimmy Cliff,1969
Margaritaville,Jimmy Buffett,1977
Marie Marie,The Blasters,1982
Marlene On The Wall,Suzanne Vega,1985
Marquee Moon,Television,1977
Marrakesh Express,Crosby Stills & Nash,1969
Marry Me,St. Vincent,2007
Martha My Dear,The Beatles,1968
Mary Jane's Last Dance,Tom Petty,1993
Mary Queen Of Arkansas,Bruce Springsteen,1973
"Mary, Mary",The Monkees,1967
"Mary, Mary",Run-DMC,1989
Massachusetts,Bee Gees,1968
Master Blaster (Jammin'),Stevie Wonder,1980
Masters of War,Bob Dylan,1963
Matty Groves,Fairport Convention,1969
May You Never,Eric Clapton,1977
May You Never,John Martyn,1973
Maybe Baby,Buddy Holly,1973
Maybe I'm Amazed,Paul McCartney,1970
Maybellene,Chuck Berry,1963
Maydell,The Allman Brothers,2003
Mayor Of Simpleton,XTC,1989
Me & Baby Jane,Leon Russell,1972
Me And Baby Brother,War,1973
Me And Bobby McGee,Janis Joplin,1971
Me And Julio Down By The Schoolyard,Paul Simon,1972
Me And The Boys,NRBQ,1980
Me In Honey,R. E. M.,1991
Me Myself I,Joan Armatrading,1980
Me Myself & I,De La Soul,1989
Meadows,Joe Walsh,1973
Mean Mr. Mustard,The Beatles,1969
Meeting Across The River,Bruce Springsteen,1975
Melissa,The Allman Brothers,1972
Mellow My Mind,Neil Young,1975
Mellow Yellow,Donovan,1967
Melody,The Rolling Stones,1976
Melody Fair,Bee Gees,1969
Melt,Phil Roy,2000
Memo From Turner,Mick Jagger,1991
Memory Motel,The Rolling Stones,1976
Memphis,Chuck Berry,1963
Memphis In The Meantime,John Hiatt,1987
Memphis Soul Stew,King Curtis,1967
Mendocino,Sir Douglas Quintet,1969
Mercury Blues,David Lindley,1981
Mercury Blues,Steve Miller Band,1968
Mercy,Duffy,2007
Mercy Mercy Me (The Ecology),Marvin Gaye,1971
Mercy Street,Peter Gabriel,1986
Merry-Go-Round,The Replacements,1985
Mess Around,Cage The Elephant,2015
Mess Around,Dr. John,1972
Mess Around,Professor Longhair,1978
Message In A Bottle,The Police,1979
Message Of Love,The Pretenders,1981
Messin' With The Kid,Junior Wells,1972
Metal Firecracker,Lucinda Williams,1998
Metal Guru,T Rex,1973
Metropolis,The Church,1990
Mexicali Blues,Bob Weir,1974
Mexican Radio,Wall Of Voodoo,1982
Miami 2017,Billy Joel,1976
Michaelangelo,Emmylou Harris,2005
Michelle,The Beatles,1965
Middle Of The Road,The Pretenders,1984
Midnight City,M83,2010
Midnight Cowboy,John Barry,1969
Midnight Cruiser,Steely Dan,1972
Midnight On The Bay,The Stills-Young Band,1976
Midnight Rambler,The Rolling Stones,1969
Midnight Rider,Gregg Allman,1973
Midnight Rider,The Allman Brothers,1993
Midnight Special,Creedence Clearwater Revival,1969
Midnight Train To Georgia,Gladys Knight & the Pips,1987
Midnight Without You,Chris Botti,1997
Might As Well,Jerry Garcia,1976
Mighty Love,The Spinners,1974
Miles From Our Home,Cowboy Junkies,1998
Million Miles,Syd Straw,1996
Mind Games,John Lennon,1973
Mind's Eye,Josh Ritter,2007
Mirage,Santana,1974
Mirror In The Bathroom,The English Beat,1980
Miserlou,Dick Dale,1962
Miss Judy's Farm,Faces,1971
Miss Misery,Elliott Smith,1997
Miss You,Sugar Blue,1994
Miss You,The Rolling Stones,1978
Missed The Boat,Modest Mouse,2007
Missionary Man,Eurythmics,1986
Mississippi,Bob Dylan,2001
Mississippi Delta,Bobbie Gentry,1967
Mississippi Half-step Uptown Toodleloo,Grateful Dead,1993
Mississippi Queen,Mountain,1970
Mistaken For Strangers,The National,2007
Misty Mountain Hop,Led Zeppelin,1971
Misunderstanding,Genesis,1980
M'lady,Sly & The Family Stone,1968
Mmm Mmm Mmm Mmm,Crash Test Dummies,1993
Moby Dick,Led Zeppelin,1969
Mockingbird,Taj Mahal,1993
Mockingbirds,Grant Lee Buffalo,1994
Modern Man,Arcade Fire,2001
Modern Love,David Bowie,1983
Mohammed's Radio,Warren Zevon,1976
Mona Lisas And Mad Hatters,Elton John,1972
Monday,Wilco,1996
Monday Morning,Fleetwood Mac,1975
"Monday, Monday",The Mamas & The Papas,1966
Money,Pink Floyd,1973
Money (That's What I Want),The Beatles,1963
Money (That's What I Want),The Flying Lizards,1979
Money In My Pocket,Dennis Brown,1979
Money Makes The Monkey Dance,Nil Lara,1996
Money On My Mind,Sam Smith,2014
MoneyGrabber,Fitz & The Tantrums,2010
Monkey Man,The Rolling Stones,1969
Montana,Frank Zappa,1988
Mony Mony,Tommy James & The Shondells,1968
Moonage Daydream,David Bowie,1972
Moondance,Van Morrison,1970
Moonlight Drive,The Doors,1967
Moonlight Mile,The Rolling Stones,1971
More Bounce To The Ounce,Zapp & Roger,1993
More Than This,Roxy Music,1982
Morning Dew,Grateful Dead,1967
Morning Glory,Oasis,1995
Morning Morgantown,Joni Mitchell,1970
Morning Has Broken,Cat Stevens,1971
Most People,Dawes,2013
Mother,John Lennon,1970
Mother And Child Reunion,Paul Simon,1972
Mother In Law,Ernie K-Doe,1961
Mother Nature's Son,The Beatles,1968
Motherless Child,Eric Clapton,1994
Motherless Children,Eric Clapton,1974
Mother's Little Helper,The Rolling Stones,1966
Mountain At My Gates,Foals,2015
Move By Yourself,Donavon Frankenreiter,2006
Move It On Over,Hank Williams,1965
Move On Up,Curtis Mayfield,1970
Move Over,Janis Joplin,1971
Move With Me,Neneh Cherry,1991
Movin' On Up,Primal Scream,1991
Moving In Stereo,The Cars,1978
Mozambique,Bob Dylan,1976
Mr. Big Stuff,Jean Knight,1971
Mr. Bojangles,David Bromberg,1972
Mr. Bojangles,Jerry Jeff Walker,1968
Mr. Brightside,The Killers,2003
Mr. Jones,Counting Crows,1993
Mr. Jones,Talking Heads,1988
Mr. Pitiful,Otis Redding,1965
Mr. Roboto,Styx,1983
Mr. Soul,Buffalo Springfield,1967
Mr. Spaceman,The Byrds,1966
Mr. Tambourine Man,The Byrds,1965
Mrs. Robinson,Simon & Garfunkel,1968
Mrs. Robinson,The Lemonheads,1992
Mud Slide Slim,James Taylor,1971
Murder (or A Heart Attack),Old 97's,1999
Murder By Numbers,The Police,1983
Mushaboom,Feist,2003
Mustang Sally,Buddy Guy,1991
Mustang Sally,Wilson Pickett,1966
My Baby Blue,John Hiatt,2003
My Baby Don't Tolerate,Lyle Lovett,2003
My Baby Gives It Away,Pete Townshend & Ronnie Lane,1977
My Back Pages,Bob Dylan,1964
My Biggest Fan,Loudon Wainwright III,2005
My Boyfriend's Back,The Angels,1963
My Cherie Amour,Stevie Wonder,1970
My City Was Gone,The Pretenders,1982
My Definition Of A Boombastic Jazz Style,Dream Warriors,1990
My Doorbell,The White Stripes,2005
My Ever Changing Moods,The Style Council,1984
My Father's Gun,Elton John,1970
My Favorite Mistake,Sheryl Crow,1998
My Favorite Things,John Coltrane,1961
My Feet Can't Fail Me Now,The Dirty Dozen Brass Band,1984
My First Lover,Gillian Welch,2001
My Generation,The Who,1965
My Guitar Wants To Kill Your Mama,Frank Zappa,1991
My Whole World Ended,David Ruffin,1969
My Hometown,Bruce Springsteen,1984
My Little Red Book,Love,1966
My Little Town,Paul Simon,1975
My Love,Paul McCartney & Wings,1973
My Love Life,Morrissey,1991
My Lover's Prayer,Otis Redding,1966
My My Hey Hey (out Of The Blue),Neil Young,1979
My Old Friend,John Hiatt,2001
My Old Man,Joni Mitchell,1971
My Old School,Steely Dan,1973
My Pledge Of Love,Joe Jeffrey Group,1969
My Rights Versus Yours,The New Pornographers,2007
My Sharona,The Knack,1979
My Sister,The Juliana Hatfield Three,1993
My Stupid Mouth,John Mayer,1999
My Sweet Lord,George Harrison,1970
My Sweet Love,John Mellencamp,2008
My Time,Minus The Bear,2010
My Way,Frank Sinatra,1969
My Wife,The Who,1971
My World Is Empty Without You,The Supremes,1965
Mysterious Ways,U2,1991
Mystery Achievement,The Pretenders,1980
Mystery Dance,Elvis Costello,1977
Mystery Train,Elvis Presley,1955
Naked Eye,Luscious Jackson,1996
Na Na Hey Hey Kiss Him Goodbye,Steam,1987
Nantucket Sleighride (To Owen Coffin),Mountain,1995
Nashville Cats,The Lovin' Spoonful,1966
Natural Blues,Moby,2000
Natural High,Bloodstone,1973
Natural One,Folk Implosion,1995
Nature's Way,Spirit,1970
Nausea,Beck,2006
Nearly Lost You,Screaming Trees,1992
Need Your Love So Bad,Little Willie John,1956
Needles And Pins,The Searchers,1964
Neighborhood #3 (power Out),Arcade Fire,2004
Never Ending Song Of Love,Delaney & Bonnie & Friends,1971
Never Give You Up,Jerry Butler,1968
Never Go Back,Grace Potter And The Nocturnals,2012
Never Going Back Again,Fleetwood Mac,1977
Never Gonna Change,Drive-By Truckers,2004
Never Gonna Give You Up,Barry White,1974
Never Had Nobody Like You,M. Ward,2009
Never In My Life,Mountain,1970
Never Miss A Beat,Kaiser Chiefs,2008
Never My Love,The Association,1967
Never Said,Liz Phair,1993
Never Stop,The Brand New Heavies,1991
Never Stop,Echo & The Bunnymen,1983
Never There,Cake,1998
New Beginning,Tracy Chapman,1995
New Coat of Paint,Tom Waits,1974
New Country,Jean-Luc Ponty,1976
New Delhi Freight Train,Little Feat,1977
New Frontier,Donald Fagen,1982
New Mama,Neil Young,1975
New Sensation,INXS,1987
New Sensations,Lou Reed,1984
New Slang,The Shins,2001
New Song,Warpaint,2016
New Speedway Boogie,Grateful Dead,1970
New Toy,Lene Lovich,1981
New Years Day,U2,1983
New York City Serenade,Bruce Springsteen,1973
New York New York,Ryan Adams,2001
New York State Of Mind,Billy Joel,1976
Next Girl,The Black Keys,2010
Next Time You See Her,Eric Clapton,1977
Next to Me,Emeli Sande,2012
Next To You,The Police,1978
"Nice, Nice, Very Nice",Ambrosia,1975
Nick Of Time,Bonnie Raitt,1989
Night,Bruce Springsteen,1973
Night And Day,Lowell Fulson,2003
Night Fever,Bee Gees,1977
Night Flight,Led Zeppelin,1975
Night In My Veins,The Pretenders,1994
Night Nurse,Gregory Isaacs,1982
Night People,Allen Toussaint,1978
Night People,Robert Palmer,1978
Night Train,Amos Lee,2006
Night Train,Bruce Cockburn,1996
Night Train,James Brown,1961
Night Train,Steve Winwood,1980
Nights In White Satin,The Moody Blues,1974
Nights On Broadway,Bee Gees,1975
Nightclub Jitters,The Replacements,1987
Nightclubbing,Iggy Pop,1977
Nightswimming,R. E. M.,1992
Nighttime In The Switching Yard,Warren Zevon,1978
Nineteen,Old 97's,1999
Nineteen Hundred And Eighty Five,Paul McCartney & Wings,1973
No Bad News,Patty Griffin,2007
No Cars Go,Arcade Fire,2003
No Depression,Uncle Tupelo,1990
No Easy Way Down,Dusty Springfield,1969
No Excuses,Alice In Chains,1993
No Expectations,The Rolling Stones,1968
No Frontiers,Mary Black,1989
No Kinda Dancer,Robert Earl Keen,1984
No Matter What,Badfinger,1970
No Matter Where We Go,Whitney,2016
"No More, No More",Aerosmith,1975
No Myth,Michael Penn,1989
No New Tale To Tell,Love And Rockets,1987
No No No,Beirut,2015
No One To Depend On,Santana,1971
No One's Gonna Love You,Band Of Horses,2007
No Particular Place To Go,Chuck Berry,1964
No Quarter,Led Zeppelin,1973
No Rain,Blind Melon,1992
No Regrets,Tom Rush,1968
No Reply,Genesis,1981
No Reply,The Beatles,1964
No Such Thing,John Mayer,1999
No Sunlight,Death Cab For Cutie,2008
No Surrender,Bruce Springsteen,1984
No Woman No Cry,Bob Marley & The Wailers,1974
No Woman No Cry,The Fugees,2004
Nobody But Me,The Human Beinz,1967
Nobody But You,Loggins & Messina,1974
Nobody Does It Better,Carly Simon,1977
Nobody's Fault But Mine,Led Zeppelin,1976
North American Scum,LCD Soundsystem,2006
North Side Gal,JD McPherson,2010
Norwegian Wood (This Bird Has Flown),The Beatles,1965
Not Fade Away,Buddy Holly,1979
Not Fade Away (live),Grateful Dead,2013
Not That Funny,Fleetwood Mac,1979
Not Where It's At,Del Amitri,1997
Nothin' On Me,Shawn Colvin,1996
Nothing But The Water II,Grace Potter And The Nocturnals,2005
Nothing Can Stop Us,Saint Etienne,1991
Nothing Compares 2 U,Sinead O'Connor,1991
Nothingman,Pearl Jam,1994
November Rain,Guns n Roses,1991
Now That We've Found Love,Third World,1990
Nowadays Clancy Can't Even Sing,Buffalo Springfield,1966
Nuclear,Ryan Adams,2002
O Superman,Laurie Anderson,1981
Oblivious,Aztec Camera,1983
Ocean Breathes Salty,Modest Mouse,2004
Octopus's Garden,The Beatles,1969
Ode To Billie Joe,Bobbie Gentry,1967
Ode To My Family,The Cranberries,1994
Off The Ground,The Record Company,2016
Off The Record,My Morning Jacket,2005
Off The Wall,Michael Jackson,1979
Oh Atlanta,Alison Krauss,1995
Oh Atlanta,Little Feat,1974
Oh Daddy,Adrian Belew,1989
Oh Girl,The Chi-Lites,1972
Oh Happy Day,Edwin Hawkins Singers,1976
Oh My Love,John Lennon,1971
Oh My My,Ringo Starr,1973
Oh Well,Fleetwood Mac,1970
Oh What A Night,The Dells,1988
Oh Yeah,Johnny A,1999
Oh! No Not My Baby,Rod Stewart,1974
Oh! You Pretty Things,David Bowie,1971
"Oh, Pretty Woman",Roy Orbison,1989
Ohio,Crosby Stills Nash & Young,1970
Okie From Muskogee,Merle Haggard,1986
Ol '55,Tom Waits,1973
Ol' 55,Shawn Colvin,1994
Old,Paul Simon,2000
Old Brown Shoe,The Beatles,1969
Old Man,Neil Young,1972
Omaha,Counting Crows,1993
Omaha,Moby Grape,1967
On A Night Like This,Bob Dylan,1974
On An Island,David Gilmour,2006
On Call,Kings Of Leon,2007
On Melancholy Hill,Gorillaz,2010
On The Air,Peter Gabriel,1978
On My Radio,The Selecter,1979
On The Beach,Neil Young,1974
On The Radio,Cheap Trick,1978
On the Road,Houndmouth,2013
On The Road Again,Canned Heat,1968
On The Road Again,Willie Nelson,1980
On Top Of The World,Cheap Trick,1978
Once Bitten Twice Shy,Ian Hunter,1980
Once In A Lifetime,Talking Heads,1980
Once Upon A Time In The West,Dire Straits,1979
One,Aimee Mann,1995
One,Johnny Cash,1959
One,U2,1987
One After 909,The Beatles,1970
One Belief Away,Bonnie Raitt,1998
One Big Holiday,My Morning Jacket,2003
One Big Love,Emmylou Harris,2000
One Big Love,Patty Griffin,1998
"One Bourbon, One Scotch, One Beer",John Lee Hooker,1966
"One Bourbon, One Scotch, One Beer",George Thorogood & The Destroyers,1977
One For The Road,Arctic Monkeys,2013
One Headlight,The Wallflowers,1996
One Love / People Get Ready,Bob Marley & The Wailers,1977
One Man Band,Three Dog Night,1970
One Man Wrecking Machine,Guster,2006
One More Cup Of Coffee,Bob Dylan,1976
One More Dollar,Gillian Welch,1996
One More Night,Michael Kiwanuka,2016
One More Saturday Night,Bob Weir,2004
One More Song The Radio Won't Like,Kathleen Edwards,2002
One More Time,Daft Punk,2001
One Nation Under A Groove,Funkadelic,1978
One Of These Days,Pink Floyd,1971
One Of These Days,Van Morrison,1996
One Of Us,Joan Osborne,1994
One Step Beyond,Madness,1979
One Step Up,Bruce Springsteen,1987
One Summer Dream,Electric Light Orchestra,1975
One Thing Leads To Another,The Fixx,1982
"One Time, One Night",Los Lobos,1987
One Track Mind,The Knickerbockers,1965
One Way Or Another,Blondie,1995
One Way Out,Sonny Boy Williamson,1965
One Way Out,The Allman Brothers,1975
One Week,Barenaked Ladies,1998
One Wing,Wilco,2009
One World,The Police,1981
Only A Memory,The Smithereens,1988
Only Love Can Break Your Heart,Neil Young,1970
Only Love Can Break Your Heart,Saint Etienne,1990
Only The Lonely,Roy Orbison,1967
Only The Strong Survive,Jerry Butler,1968
Only Time,Enya,2000
Only You,Yaz,1982
Only You Know And I Know,Dave Mason,1970
Only You Know And I Know,Delaney & Bonnie & Friends,1970
Only You Know And I Know,Joan Osborne,2002
Oo You,Paul McCartney,1970
Oogum Boogum Song,Brenton Wood,1967
O-O-H Child,The Five Stairsteps,1970
Ooh La La,Faces,1973
Ooh Las Vegas,Gram Parsons,1974
Open Invitation,Santana,1978
Open My Eyes,Nazz,1968
Operator,Jim Croce,1972
Ophelia,The Band,1970
Ophelia,The Lumineers,2016
Orange Crush,R. E. M.,1988
Orange Sky,Alexi Murdoch,2002
Ordinary People,John Legend,2004
Oregon Hill,Cowboy Junkies,1992
Original Sin,INXS,1983
Orinocco Flow,Enya,1996
Orion,Rodrigo Y Gabriela,2006
Our Hearts Are Wrong,Jessica Lea Mayfield,2011
Our House,Crosby Stills & Nash,1970
Our House,Madness,1982
Our Lips Are Sealed,The Go Gos,1981
Our Love,Rhett Miller,2002
Out In The Street,Bruce Springsteen,1980
Out Of My League,Fitz & The Tantrums,2013
Out Of Time,The Rolling Stones,1966
Out On The Weekend,Neil Young,1972
Out To Get Me,Dickey Betts & Great Southern,1977
Outrageous,Paul Simon,2006
Outtasite (outta Mind),Wilco,1996
Over And Over,Fleetwood Mac,1979
Over And Over,Joe Walsh,1978
Over And Over Again (lost And Found),Clap Your Hands Say Yeah,2005
Over My Head,Fleetwood Mac,1975
Over The Hills And Far Away,Led Zeppelin,1973
Over Under Sideways Down,The Yardbirds,1966
Overnight Sensation (hit Record),The Raspberries,1994
Owner Of A Lonely Heart,Yes,1983
Oxford Comma,Vampire Weekend,2007
Oye Como Va,Santana,1970
Oye Isabel,The Iguanas,1994
Pain Lies On The Riverside,Live,1991
"Paint It, Black",The Rolling Stones,1966
Painting By Numbers,James McMurtry,1989
Pale Shelter,Tears For Fears,1983
Panama Red,New Riders Of The Purple Sage,1973
Panic,The Smiths,1986
Panic In Detroit,David Bowie,1973
Papa Come Quick,Bonnie Raitt,1991
Papa Don't Take No Mess (Part 1),James Brown,1987
Papa Was A Rolling Stone,The Temptations,1972
Papa's Got A Brand New Bag,James Brown,1970
Paper Sun,Traffic,1967
Paperback Writer,The Beatles,1966
Parachute Woman,The Rolling Stones,1968
Paradise,Coldplay,2011
Paradise,John Prine,1971
Paranoid,Black Sabbath,1970
Paranoid Android,Radiohead,1997
Paris 1919,John Cale,1973
Parklife,Blur,1994
Particle Man,They Might Be Giants,1990
Part of Me,Tedeschi Trucks Band,2013
Part Of The Plan,Dan Fogelberg,1974
Party Out Of Bounds,B-52's,1980
Party Time,The Heptones,1969
Pass You By,Gillian Welch,1996
Passion Is No Ordinary Word,Graham Parker,1979
Passionate Kisses,Lucinda Williams,1988
Past The Mission,Tori Amos,1994
Pastime Paradise,Stevie Wonder,1976
Pay The Man,David Lindley,1981
Pay To The Piper,Chairmen Of The Board,1970
Peace Frog,The Doors,1970
Peace Tonight,Indigo Girls,1999
Peace Trail,Neil Young,2016
Peace Train,Cat Stevens,1971
Peace Train,"10,000 Maniacs",1987
"Peaceful, Easy Feeling",The Eagles,1998
Peacekeeper,Fleetwood Mac,2003
Peaches,The Presidents Of The United States Of America,1995
Peaches En Regalia,Frank Zappa,1969
Pearly-dewdrops' Drops,Cocteau Twins,1984
Pedestrian At Best,Courtney Barnett,2015
Peg,Steely Dan,1977
Peggy Sue,Buddy Holly,1979
Penny Lane,The Beatles,1967
Pensacola,Joan Osborne,1995
People Are People,Depeche Mode,1984
People Are Strange,The Doors,1967
People Everyday,Arrested Development,1992
People Get Ready,The Impressions,1965
People Gonna Talk,James Hunter,2006
People Got A Lotta Nerve,Neko Case,2009
People Have The Power,Patti Smith,1988
People In Love,Loudon Wainwright III,1992
People Say,The Meters,1974
People Who Died,The Jim Carroll Band,1980
Perfect Blue Buildings,Counting Crows,1993
Perfect Day,Lou Reed,1972
Perfect Fit,Van Morrison,1995
Perfect Skin,Lloyd Cole & The Commotions,1984
Perfect Timing (This Morning),Orba Squara,2007
Perfectly Good Guitar,John Hiatt,1993
Perpetual Change,Yes,1971
Personal Jesus,Depeche Mode,1989
Personal Jesus,Dixie Hummingbirds,2006
Persuasion,Tim Finn,1993
Pets,Porno For Pyros,1993
Phantom Limb,The Shins,2006
Philly Dog,The Mar-Keys,1966
Philosopher's Stone,Van Morrison,1999
Photograph,Camper Van Beethoven,1987
Photograph,Ringo Starr,1973
Pick Myself Up,Peter Tosh,1978
Pick Up The Pieces,Average White Band,1976
Pickin' Up The Pieces,Poco,1969
Pickin' Up The Pieces,Widespread Panic,1993
Picture Book,The Kinks,1968
Pictures Of Lily,The Who,1967
Pictures Of Matchstick Men,Camper Van Beethoven,1989
Pictures Of Matchstick Men,Status Quo,1968
Pictures Of You,The Cure,1989
Piece Of My Heart,Big Brother & The Holding Company,1990
Piece Of My Heart,Erma Franklin,1967
Pigs (three Different Ones),Pink Floyd,1977
Pinball Wizard,The Who,1974
Pink + White,Frank Ocean,2016
Pink Moon,Nick Drake,1972
Pipeline,The Chantays,1963
Planet Claire,B-52's,1979
Plastic Fantastic Lover,Jefferson Airplane,1967
Play Me Backwards,Joan Baez,1992
Play That Fast Thing One More Time,Rockpile,1980
Play With Me,Jeff Beck,1976
