Artist,Title,Year
Beth Orton,Someone's Daughter,1996
PJ Harvey,Dress,1991
A Tribe Called Quest,Scenario,1991
A Tribe Called Quest,Excursions,1991
Throwing Muses,Dio,1992
Jane's Addiction,Pigs In Zen,1987
Pearl Jam,Once,1991
Sleater-Kinney,The Day I Went Away,1995
Neneh Cherry,Move With Me,1991
Jeff Buckley,Everybody Here Wants You,1998
Leonard Cohen,Anthem,1992
Leonard Cohen,Waiting For The Miracle,1992
Sonic Youth,The Diamond Sea,1995
My Bloody Valentine,I Only Said,1991
Bobbi Humphrey,Harlem River Drive,1973
Chic,Good Times,1979
Us 3,Cantaloop,1999
Average White Band,Soul Searching,1976
Kinky,Soun Tha Mi Primer Amor,2002
Ohio Players,Love Rollercoaster,1975
The O'Jays,Love Train,1983
The Time,777-9311,1982
Junior Wells,Snatch It Back And Hold It,1966
Jr. Walker & The All-Stars,Roadrunner,1965
Graham Central Station,Release Yourself,1974
Sly & The Family Stone,I Want To Take You Higher,1969
Jimmy Castor Bunch,Its Just Begun,1970
William DeVaughn,Be Thankful For What You Got,1974
Brian Auger's Oblivion Express,Inner City Blues,1997
Marvin Gaye,Inner City Blues,1971
Nina Simone,I Wish I Knew How It Would Feel To Be Free,1967
Boz Scaggs,You Got My Letter,1994
Blues Traveler,But Anyway,1990
The Beatles,I Want To Tell You,1966
Beck,Nobody's Fault But My Own,1998
Bruce Springsteen,Hungry Heart,1986
The Black Keys,Howlin' For You,2010
Slim Harpo,Te-ni-nee-ni-nu,1992
Bob Dylan,Just Like Tom Thumb's Blues,1965
Ryan Adams,So Alive,2003
Joan Osborne,St. Theresa,1996
Mumford & Sons,Little Lion Man,2008
Al Green,Take Me To The River,1974
The Civil Wars,Poison & Wine,2009
The Doors,Waiting For The Sun,1970
R. E. M.,First We Take Manhattan,1991
Johnny Cash,Bird On A Wire,1994
The White Stripes,My Doorbell,2005
Donald Fagen,I.G.Y.,1982
Dave Matthews Band,So Much To Say,1996
Leonard Cohen,Passing Through,1973
Massive Attack,Karmacoma,1994
Joni Mitchell,Rainy Night House,1970
Dave Mason,We Just Disagree,1977
Neko Case,This Tornado Loves You,2009
David Bowie,Oh! You Pretty Things,1971
Kurt Vile,Shame Chamber,2013
World Party,Ship Of Fools,1986
Joe Walsh,Over And Over,1978
Ben Harper,Better Way,2006
Judy Collins,Suzanne,1966
k. d. lang,Bird On A Wire,2004
Madeleine Peyroux,Dance Me To The End Of Love,2004
Jeff Buckley,Hallelujah,1994
Leonard Cohen,Everybody Knows,1988
Hiss Golden Messenger,Saturday's Song,2014
Squirrel Nut Zippers,Hell,1996
April Smith & the Great Picture Show,Colors,2008
Jimi Hendrix,Star Spangled Banner,1971
The Cowsills,Indian Lake,1968
Marshall Crenshaw,"Someday, Someway",1982
XTC,Dear God,1986
Wilco,Handshake Drugs,2002
Kirsty MacColl,Walking Down Madison,1991
Barns Courtney,Fire,2015
Sting,"50,000",2016
Devo,Beautiful World,1981
Tones On Tail,Go!,1984
Garbage,Special,1997
The Beatles,In My Life,1965
Psychedelic Furs,Into You Like A Train,1981
The Golden Palominos,Boy (go),1985
Phoenix,Everything Is Everything,2004
Mark Ronson,Stop Me,2007
The Wallflowers,6th Avenue Heartache,1996
Fleet Foxes,Helplessness Blues,2011
Elton John,Tiny Dancer,1971
James Hunter,Don't Come Back,2006
The Temptations,Ball Of Confusion,1986
The Hollies,Stop! Stop! Stop!,1967
LCD Soundsystem,Us V. Them,2007
Blue Rodeo,Lost Together,1992
James Brown,Super Bad,1971
Joni Mitchell,Raised On Robbery,1974
Peter Gabriel,Big Time,1986
XTC,Making Plans For Nigel,1982
Morrissey,"The More You Ignore Me, The Closer I Get",1994
De La Soul,Magic Number,1989
Little Richard,Keep A-Knockin',1981
The English Beat,Mirror In The Bathroom,1980
Phil Collins,In The Air Tonight,1981
The Jayhawks,Tailspin,2003
The Notting Hillbillies,Your Own Sweet Way,1990
Ryan Bingham,Southside Of Heaven,2002
Lightnin' Hopkins,Coffee Blues,1962
Charley Patton,Elder Green Blues,1989
Shemekia Copeland,Cardboard Box,2015
Mr. Sipp,Jackpot,2015
Bobby Rush,Got Me Accused,2016
Jimmy Thackery & The Drivers,Blues All Night,2016
Lil' Ed & The Blues Imperials,Poor Man's Song,2016
Dr. John,Stack-A-Lee,1972
Ronnie Earl & The Broadcasters,Double Trouble,2004
Skip James,Illinois Blues,1964
Junior Wells,I Could Cry,1958
Bobby Parker,Blues Get Off My Shoulder,2000
Memphis Minnie,I'm Talking About You,1930
Lil' Ed & The Blues Imperials,Troubled World,2016
Lou Rawls,Tobacco Road,1966
JJ Thames,I'm Leavin',2016
John Lee Hooker,I'm Bad Like Jesse James,1967
Little Walter,Off The Wall,1953
Lucky Peterson,Statesboro Blues,2010
Jimi Hendrix,Izabella,1971
Howlin' Wolf,Killing Floor,1966
Mississippi John Hurt,Make Me A Pallet On Your Floor,1966
Bobby Rush,Snake In The Grass,2016
Frank Sinatra,A Fool To Want You,1957
The Flamingos,I Only Have Eyes For You,1959
Ray Charles,That Lucky Old Sun,1963
Frank Sinatra,That Lucky Old Sun,1968
Manhattan Transfer,The Thought Of Loving You,1976
The Three Degrees,Look In My Eyes,1992
The Chantels,Look In My Eyes,1961
Johnny Maestro,I'll Be True,2005
The Orlons,I'll Be True,2005
The Beach Boys,So Young,1965
The Students,So Young,1958
The Skyliners,Since I Don't Have You,1958
The Four Seasons,Since I Don't Have You,1963
Kurt Vile,Baby's Arms,2011
Dawes,When My Time Comes,2009
The Mamas & The Papas,Safe In My Garden,1968
The White Stripes,I'm Slowly Turning Into You,2007
Robyn Hitchcock,The Ghost In You,2013
Weyes Blood,Do You Need My Love,2016
Nick Cave & The Bad Seeds,Henry Lee,1996
Fleetwood Mac,Tusk,1979
The Jam,A Town Called Malice,1982
X,The New World,1983
The Philadelphia Orchestra,Clair De Lune,1997
Old 97's,Barrier Reef,1997
Funkadelic,Can You Get to That,1971
The Everly Brothers,All I Have To Do Is Dream,1959
Beth Orton,Ooh Child,2003
Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do),1974
Gary Lewis & The Playboys,This Diamond Ring,1987
Broncho,Wanna,2011
The Walkmen,Heaven,2012
Django Django,Default,2012
Eddie Floyd,Knock On Wood,1991
Joy Division,Love Will Tear Us Apart,1980
The Avett Brothers,"Head Full of Doubt, Road Full of Promise",2009
Levon Helm,When I Go Away,2009
Au Pairs,Come Again,1981
A Band Of Bees,A Minha Menina,2001
Todd Rundgren,Love Of The Common Man,1978
Fleetwood Mac,Oh Well,1970
The Spinto Band,Oh Mandy,2005
Talking Heads,The Great Curve,1980
LCD Soundsystem,Someone Great,2007
Bruce Springsteen,Something In The Night,1978
Sampha,Timmy's Prayer,2016
The Impressions,We're A Winner,1968
De La Soul,Say No Go,1989
Elvis Presley,Rubberneckin',1969
Iggy Pop,Lust For Life,1977
Genesis,Abacab,1981
Death Cab For Cutie,Cath...,2008
Hozier,Take Me To Church,2013
Ray Charles,What'd I Say (Parts 1 & 2),1959
Les McCann & Eddie Harris,Compared To What,1969
Charles Bradley,Ain't It A Sin,2013
The Dells,There Is,1968
The Buzzcocks,Ever Fallen In Love?,2002
Electric Light Orchestra,Showdown,1979
XTC,Earn Enough For Us,1986
The Blue Nile,Tinseltown In The Rain,1984
Jefferson Starship,Have You Seen The Stars Tonight,2001
The Doobie Brothers,Losin' End,1976
Radiohead,All I Need,2007
The Temptations,Just My Imagination (Running Away With Me),1980
Neil Young,I Am A Child,1968
Joni Mitchell,Taming The Tiger,1998
Leonard Cohen,Tacoma Trailer,1992
Casey Neill,King Neptune,2007
David Crosby,Paint You A Picture,2016
Ann Sweeten,November Firelight,2007
Nick Cave & The Bad Seeds,Distant Sky,2016
Emmylou Harris,Bang The Drum Slowly,2000
Paul Kelly & Charlie Owen,Let It Be,2016
Acoustic Eidolon,November Woods,2004
Leo Kottke,Wonderland By Night,1994
Neil Young,Wrecking Ball,1989
Leonard Cohen,Joan Of Arc,1970
Joni Mitchell,The Silky Veils Of Ardor,1977
The Postmarks,Winter Spring Summer Fall,2007
Tony Bennett,Maybe September,1977
Joni Mitchell,Urge For Going,1996
Maia Vidal,Infinity,2015
Lori Carson,I'm the One Who Runs,2012
Liz Carroll,A Day and An Age,2002
David Darling,In November,1992
Neil Young,Round  and  Round,1969
Joni Mitchell,Morning Morgantown,1970
Leonard Cohen,Love Calls You by Your Name,1970
Wynton Marsalis,Reflections,1999
Ian McGlynn,The Tick of Time,2012
Ben Arnold,Suckin' Honey,2007
Chuck Berry,Havana Moon,1956
Joni Mitchell,Last Chance Lost,1994
The Monkees,Porpoise Song,1968
Chris Stamey,Kierkegaard,2004
Scott Walker,Cossacks Are,2006
Robert Wyatt,Biko,1984
Allen Toussaint,Yes We Can Can,2005
Sid Vicious,Something Else,1979
Zager & Evans,In The Year 2525 (Exordium & Terminus),1969
David Gray,Coming Down,1994
Tom Waits,Gun Street Girl,1985
Psychedelic Furs,India,1980
Lou Reed,A Gift,1975
The Velvet Underground,The Gift,1968
Pink Floyd,Astronomy Domine,1967
Robyn Hitchcock & The Egyptians,Globe Of Frogs,1988
Neil Young,Johnny Magic,2009
Eric Burdon & War,Magic Mountain,1970
Ian Hunter,Bastard,1979
Todd Snider,Looking For A Job,2006
Bob Dylan,"Going, Going, Gone",1974
Mos Def,Black Jack,2004
Black Sabbath,The Thrill Of It All,1975
Cheech & Chong,The Strawberry Revival Festival,1973
House Of Pain,Top o' The Morning To Ya,1992
The Avalanches,Frankie Sinatra,2016
The Meters,It Ain't No Use,1974
Art Pepper,Surf Ride,1990
Wishbone Ash,Persephone,1974
Ennio Morricone,"The Good, The Bad, And The Ugly",1977
Return To Forever,Majestic Dance,1976
Frank Zappa,Joe's Garage,1979
The Clash,The Magnificent Dance,1981
Os Mutantes,Bat Macumba,1968
The Gun Club,Stranger In Our Town,1984
Uncle Tupelo,The Long Cut,1993
The Rolling Stones,Sway,1971
Morphine,"Top Floor, Bottom Buzzer",2000
Chet Baker,Let's Get Lost,1955
Beck,Nitemare Hippy Girl,1994
Leo Kottke,The Other Day (Near Santa Cruz),1991
Drink Me,Grant's Tomb,1992
Johnny Cash,Long Black Veil,1965
The Dream Syndicate,Then She Remembers,1982
Clock DVA,Breakdown,1983
Yes,Going For The One,1977
St. Vincent,Digital Witness,2014
Ariel Pink's Haunted Graffiti,Butt-House Blondies,2010
Squirrel Bait,Sun God,1986
The Feelies,Away,1988
Superchunk,FOH,2013
LVL UP,The Closing Door,2015
Girls,Hellhole Ratrace,2008
EZTV,High Flying Faith,2016
The Lemonheads,It's A Shame About Ray,1992
Sad13,Tell U What,2016
Sad13,Devil In U,2016
Shopping,Straight Lines,2015
Primal Scream,Keep Your Dreams,2000
Jagwar Ma,Loose Ends,2016
Dante Bucci,HangFunk,2008
Zee Avi,"Don't Worry, Be Happy",2014
Pete Seeger,If I Had A Hammer (the Hammer Song),1982
Carolina Chocolate Drops,Hit 'Em Up Style,2010
Dom Flemons,But They Got It Fixed Right On,2014
Roscoe Holcomb,Darlin Corey,1998
Karen Dalton,Katie Cruel,1971
Leon Russell,A Song For You,1970
Cricket Tell the Weather,Briar,2016
Buffy Sainte-Marie,Cod'ine,1964
Billy Bragg & Joe Henry,The L&N Don't Stop Here Anymore,2016
Sturgill Simpson,Turtles All The Way Down,2014
Brandi Carlile,The Eye,2014
Shovels & Rope,St. Anne's Parade,2016
Bob Dylan,Desolation Row,1965
M83,The Wizard,2016
M. Ward,Duet For Guitars #2,2002
Lucinda Williams,Something About What Happens When We Talk,1989
The Who,Baba O'Riley,1979
Arcade Fire,Ready To Start,2001
The Beatles,Taxman,1966
Nirvana,Lithium,1991
Suicide,Dream Baby Dream,1981
Tom Petty,Into The Great Wide Open,1991
Ozomatli,(Who Discovered) America?,2004
The Jesus And Mary Chain,Sometimes Always,1994
Neko Case,"Hold On, Hold On",2006
B-52's,Quiche Lorraine,1980
The Kinks,Waterloo Sunset,1967
Kaiser Chiefs,Never Miss A Beat,2008
Joan Osborne,Love Is Alive,2000
Pink Floyd,Point Me At The Sky,1968
Josh Ritter,Getting Ready To Get Down,2015
Shocking Blue,Venus,1970
Public Image Ltd.,Public Image,1978
Alabama Shakes,Hold On,2011
The Verve,Slide Away,1992
Sam Smith,I'm Not The Only One,2014
Elvis Costello,Beyond Belief,1982
The Pretenders,Kid,1979
Luna,Tiger Lily,1994
Leon Russell,Masters of War (Old Masters),1989
Marco Benevento,"Seems So Long Ago, Nancy",2007
Nina Simone,Suzanne,1969
Leon Russell,Cajun Love Song,1972
Leon Russell,I'm So Lonesome I Could Cry,1973
Paul & Linda McCartney,Ram On,1971
Leonard Cohen,Leaving the Table,2016
Leonard Cohen,Samson in New Orleans,2014
Bon Iver,___45____,2016
Charley Pride,Just Between You and Me,1967
Lambchop,Howe,2016
Neil Young,Cinnamon Girl,1969
Luke Temple,The Birds of Late December,2016
Leon Russell,A Song for You,1970
Caetano Veloso,It's a Long Way,1972
Seu Jorge,Oh! You Pretty Things,2005
Margaret Glaspy,Somebody to Anybody,2016
Leonard Cohen,Tower Of Song,1988
Leonard Cohen,I Tried to Leave You,1974
Hiss Golden Messenger,Cracked Windshield,2016
Firefall,Dolphin's Lullaby,1976
Devendra Banhart,Linda,2016
Pink Floyd,"Grantchester Meadows (BBC Session, 12 May 1969)",2016
Itasca,Daylight Under My Wing,2016
Pink Floyd,Embryo (from 'Picnic'),2016
Leonard Cohen,Last Year's Man,1970
Coleman Hawkins and His Orchestra,Body and Soul,1987
Nick Drake,Way to Blue,1969
Shirley Collins,Polly Vaughan,1959
Leonard Cohen,Lady Midnight,1969
Leonard Cohen,Master Song,1967
John Coltrane,Ev'ry Time We Say Goodbye,1961
Norah Jones,Peace,2002
Wilco,Quarters,2016
John Fahey,View (East from the Top of the Riggs Road/B & O Trestle),1968
Daniel Bachman,Watermelon Slices on a Blue Bordered Plate,2016
Madeleine Peyroux,Dance Me to the End of Love,2004
Roberta Flack,"Hey, That's No Way To Say Goodbye",1969
John Cale,Hallelujah,1991
Frank Sinatra,I'll Never Smile Again,1965
Nick Cave and the Bad Seeds,Distant Sky,2016
Lou Reed,Dreamin',1992
Gil Scott-Heron & Brian Jackson,Winter In America,1975
Richie Havens,Follow,1967
Sara Watkins,The Love That Got Away,2016
Tom Jones,Tower Of Song,2012
Willie Nelson,Always On My Mind,1988
Chet Baker,Time After Time,1954
Marian McPartland,Manhattan,2002
Esme Patterson,Guadalupe,2016
Hope Sandoval And The Warm Inventions,The Hiking Song,2016
Brad Mehldau,Blame It On My Youth,1997
Steve Roach,The Way Forward,2015
K Leimer,Districts,1980
Hotel Neon,The Eye's Mind,2015
Steve Hauschildt,Horizon of Appearances,2016
Legiac,Ambikythera Mechanism,2016
Vangelis,Return to the Void,2016
Martin Nonstatic,Bowed Thoughts,2015
Martin Nonstatic,Into the Nebulae,2016
Alex Somers,Remembering,2016
loscil,Drained Lake,2016
Cosmic Ground,Monochrome Ritual,2016
Peter Bjorn And John,Second Chance,2011
Elephant Stone,Manipulator,2016
Laura Veirs,Soldier's Joy,2011
Trout Fishing In America,Baby's Got The Car Keys,1998
Jazzy Ash,Every Family's Different,2014
Jonatha Brooke,How Deep Is Your Love?,2001
Gary Clark Jr.,Don't Owe You A Thang,2010
The Dean Ween Group,Mercedes Benz,2016
David Johansen,Cool Metro,1978
Leon Russell,Stranger In A Strange Land,1971
Leon Russell,Shoot Out On The Plantation,1970
Leon Russell,Out In The Woods,1972
Jimmy Cliff,Reggae Music,2012
Soft Cell,Tainted Love,1981
Creedence Clearwater Revival,Who'll Stop The Rain,1976
Pink Floyd,Money,1973
The Babys,Midnight Rendezvous,1979
North Mississippi Allstars,Eyes,2003
The Avett Brothers,Kick Drum Heart,2009
R. E. M.,Fall On Me,1986
Rod Stewart,What Made Milwaukee Famous,1992
The Passions,I'm In Love With A German Film Star,1981
Rickie Lee Jones,Satellites,1989
James Brown,Make It Funky,1971
U2,New Years Day,1983
The Sundays,Goodbye,1992
Matthew Sweet,Divine Intervention,1991
Chris Isaak,Wicked Game,1989
The Black Keys,Gotta Get Away,2014
Led Zeppelin,All My Love,1979
Hayes Carll,Bad Liver And A Broken Heart,2008
The Cars,Drive,1988
Fleet Foxes,The Cascades,2011
Dave Matthews Band,#34,1994
The Allman Brothers,In Memory Of Elizabeth Reed,1971
Pat Metheny Group,Last Train Home,1987
Dante Bucci,Reminiscence,2008
Calexico,Crystal Frontier (Buscemi Instrumental),2001
Semisonic,Chemistry,2000
Soul Asylum,Sexual Healing,1993
Sarah McLachlan,Drawn To The Rhythm,1991
Sting,If I Ever Lose My Faith In You,1993
Beck,Girl,1969
Graham Parker,Passion Is No Ordinary Word,1979
Crosby & Nash,Carry Me,1975
Bonnie Raitt,Papa Come Quick,1991
Tom Petty,Wildflowers,1994
The Allman Brothers,Come And Go Blues,1973
Ziggy Marley,Tomorrow People,1988
Patty Griffin,Heavenly Day,2007
Leon Russell,Back To The Island,1975
Mark Ronson feat. Amy Winehouse,Valerie,2007
Tower Of Power,What Is Hip,1973
Rufus Wainwright,Hallelujah,2001
Shawn Colvin,Steady On,1989
Dire Straits,Once Upon A Time In The West,1979
Fine Young Cannibals,Johnny Come Home,1985
Bruce Springsteen,It's Hard To Be A Saint In The City,1973
Jack Johnson,Upside Down,2006
Ben Howard,Keep Your Head Up,2008
George Benson,This Masquerade,1976
Kate Bush,Hounds Of Love,1985
John Mayer,Belief,2006
Leon Russell,Medley: Jumpin' Jack Flash / Youngblood,1991
Leon Russell,Tight Rope,1972
Elton John & Leon Russell,If It Wasn't For Bad,2010
Aretha Franklin,Respect,1968
The Beatles,Across The Universe,1969
Leon Russell,Crystal Closet Queen,1971
Leon Russell,Delta Lady,1970
Buckwheat Zydeco,When The Levee Breaks,2009
R. E. M.,Feeling Gravity's Pull,1985
Ingrid Michaelson,Everybody,2009
Hiss Golden Messenger,Heart Like A Levee,2016
Suzanne Vega,Tom's Diner,1987
Van Morrison,Early In The Morning,1996
Joe Cocker,The Letter,1970
Leon Russell,Lady Blue,1975
The Delfonics,Ready Or Not Here I Come (Can't Hide From Love),1969
The Replacements,Can't Hardly Wait,1985
Back Door Slam,Come Home,2007
Cheap Trick,Surrender,1978
John Lennon,Watching The Wheels,1980
Counting Crows,Omaha,1993
Wilco,Monday,1996
Eurythmics,Would I Lie To You?,1985
The Selecter,On My Radio,1979
David Bowie,Drive-in Saturday,1973
Haim,Forever,2002
Lyle Lovett,She Makes Me Feel Good,1992
Steve Miller Band,Going To The Country,1970
Martha Reeves & The Vandellas,(Love Is Like A) Heat Wave,1963
Amy Correia,The Bike,2000
Peter Bjorn And John,Young Folks,2006
Lene Lovich,New Toy,1981
Nick Lowe,(I Love The Sound Of) Breaking Glass,1978
Crash Test Dummies,Superman's Song,1991
Richard Thompson,Tear Stained Letter,1983
The Moody Blues,Tuesday Afternoon,1968
Indigenous,Rest Of My Days,2000
Hot Tuna,Corners Without Exits,1973
Porno For Pyros,Pets,1993
Freedy Johnston,Bad Reputation,1994
Wings,Let Em In,1976
Bloodstone,Natural High,1973
Cracker,Satisfy You,1992
Jackson Browne,Jamaica Say You Will,1972
Beth Orton,Live As You Dream,1996
Ray Barretto,A Deeper Shade Of Soul,1968
"10,000 Maniacs",What's The Matter Here,1987
Lenny Kravitz,It Ain't Over Til It's Over,1991
U2,Beautiful Day,2000
Yaz,Only You,1982
Joan Armatrading,Down To Zero,1976
Grateful Dead,Scarlet Begonias,1974
Jonathan Richman,You're Crazy For Taking The Bus,1990
Ryan Adams,Two,2007
Five For Fighting,100 Years,2003
Grace Jones,Pull Up To The Bumper,1981
Maria McKee,I'm Gonna Soothe You,1993
American Music Club,Can You Help Me?,1994
Santana,Samba Pa Ti,1970
Jessica Lea Mayfield,Our Hearts Are Wrong,2011
Levon Helm,Tennessee Jed,2009
Ani DiFranco,Fuel,1998
The Ramones,Sheena Is A Punk Rocker,1977
John Hiatt,Slow Turning,1988
Van Morrison,Days Like This,1995
10cc,Dreadlock Holiday,1978
Red House Painters,Cabezon,1995
Ray Lamontagne,How Come,2004
Grizzly Bear,Two Weeks,2008
Wilco,Sky Blue Sky,2007
Southside Johnny & The Asbury Jukes,I Don't Want To Go Home,1976
Concrete Blonde,Joey,1990
Mumford & Sons,The Wolf,2015
Dave Matthews Band,Typical Situation,1993
Tony McManus,Maids Of Mitchelstown,2009
Hop Along,Waitress,2015
Mannequin Pussy,Emotional High,2016
Vita and the Woolf,Qiet,2016
Vita and the Woolf,Brett,2016
Trout Fishing In America,What I Want Is A Proper Cup Of Coffee,1991
David & David,Welcome To The Boomtown,1986
Adele,Rolling In The Deep,2010
Bob Mould,Heartbreak A Stranger,1989
Paul Westerberg,Dyslexic Heart,1992
The Specials,Nite Club,1983
Lynyrd Skynyrd,Tuesday's Gone,1973
Free,Fire And Water,1970
Talking Heads,Creatures Of Love,1985
Ben Folds Five,Army,1999
Southern Culture On The Skids,Freak Flag,2016
Mose Allison,Seventh Son,1959
XTC,I Remember The Sun,1984
Jane's Addiction,Been Caught Stealing,1990
INXS,The One Thing,1982
The Blasters,Red Rose,1991
The Vaughan Brothers,Tick Tock,1990
Bee Gees,I've Got To Get A Message To You,1988
Belly,Feed The Tree,1992
Beck,Pay No Mind (Snoozer),1994
Eric Clapton,The Core,1977
Wings,Letting Go,1975
The Zombies,She's Not There,1965
Patty Griffin,Mad Mission,1996
Luka Bloom,I Need Love,1992
Phoenix,Trying to Be Cool,2012
Alanis Morissette,Ironic,1995
Ryan Adams,Everybody Knows,2007
Tears For Fears,Everybody Wants To Rule The World,1985
John Legend & The Roots,Wake Up Everybody,2010
The Korgis,Everybody's Gotta Learn Sometimes,1989
Sly & The Family Stone,Everybody Is A Star,1969
Harry Nilsson,Everybody's Talkin',1994
The Beach Boys,Do It Again,1968
Old 97's,Jagged,1999
Four Tops,It's The Same Old Song,1965
Four Tops,Reach Out I'll Be There,1985
Spoon,You Got Yr. Cherry Bomb,2007
R. E. M.,Radio Free Europe,1981
Eric Clapton,Tulsa Time,1978
The Staple Singers,Come Go With Me,1973
Laura Mvula,Green Garden,2013
Gang Of Four,I Love A Man In Uniform,1994
Stevie Ray Vaughan,Cold Shot,1984
Siouxsie & The Banshees,Hong Kong Garden,1978
Richard Thompson,Crawl Back Under My Stone,1999
Arctic Monkeys,Do I Wanna Know,2013
Pink Floyd,Learning To Fly,1987
The Guess Who,No Time,1969
Snow Patrol,Shut Your Eyes,2006
Nick Lowe,Cracking Up,1979
Dixie Dregs,Cruise Control,1977
Lana Del Rey,High By The Beach,2015
Tedeschi Trucks Band,Bound For Glory,2011
Kathleen Edwards,Change the Sheets,2012
My Morning Jacket,Golden,2003
Beastie Boys,No Sleep Till Brooklyn,1986
The Lone Bellow,Then Came The Morning,2014
Pink Martini,Pata Pata,2016
David Bowie,Golden Years,1975
U2,Sweetest Thing,1987
Ferron,Ain't Life a Brook,1980
Big Audio Dynamite,Rush,1991
George Ezra,Blame It On Me,2014
Blondie,In The Flesh,1976
Fleet Foxes,White Winter Hymnal,2008
Citizen Cope,If There's Love,2002
Grand Funk Railroad,Footstompin' Music,1971
Echo & The Bunnymen,Lips Like Sugar,1987
The Drifters,Drip Drop,1958
The Ronettes,Be My Baby,1963
Big Head Todd & The Monsters,Bittersweet,1990
Garland Jeffreys,Wild In The Streets,1977
Los Lobos,Come On Let's Go,1983
Reel Big Fish,Sell Out,1996
Mayer Hawthorne,Just Ain't Gonna Work Out,2008
They Might Be Giants,Particle Man,1990
Lucinda Williams,Metal Firecracker,1998
Grant Lee Buffalo,"Truly, Truly",1998
Warren Zevon,Mohammed's Radio,1976
Lily Allen,The Fear,2008
Taj Mahal,Satisfied 'n Tickled Too,1976
Cowboy Junkies,Oregon Hill,1992
Badfinger,Come And Get It,1969
Robert Cray,The Forecast (Calls For Pain),1990
Depeche Mode,Policy Of Truth,1990
Aimee Mann,Could've Been Anyone,1993
Black Uhuru,What Is Life,1984
M. Ward,Never Had Nobody Like You,2009
The Eagles,Take It Easy,1972
Sinead O'Connor,Nothing Compares 2 U,1991
The Cure,Boys Don't Cry,1979
Joss Stone,Super Duper Love,2003
Soul Brothers Six,Some Kind Of Wonderful,1967
Pearl Jam,Better Man,1994
Madeleine Peyroux,Dreamland,1996
John Mellencamp,Rain On The Scarecrow,1985
Otis Redding,Fa Fa Fa Fa Fa (sad Song),1966
Bruce Springsteen,Dancing In The Dark,1984
Cloud Nothings,Separation,2012
Clap Your Hands Say Yeah,Blue Turning Gray,2005
Broken Social Scene,Meet Me In The Basement,2010
M83,Ludivine,2016
Gil Scott-Heron,The Revolution Will Not Be Televised,1970
David Gray,Please Forgive Me,1998
Fitz & The Tantrums,Don't Gotta Work It Out,2009
Danny & The Juniors,At The Hop,1973
David Bowie,Heroes,1980
Johnny Cash & June Carter Cash,Jackson,1967
Led Zeppelin,Nobody's Fault But Mine,1976
Joseph Arthur,Even Tho,2004
The Pretenders,Back On The Chain Gang,1982
R. L. Burnside,Rollin' Tumblin' (remix),1998
Leon Russell,Roll Away The Stone,1970
Tom Chapin,The Picnic Of The World,1979
Todd Rundgren,It Wouldn't Have Made Any Difference,1972
Folk Implosion,Natural One,1995
Alice Cooper,Clones (We're All),1980
Alice Cooper,I'm Eighteen,1971
Alice Cooper,No More Mr. Nice Guy,1973
Alice Cooper,Be My Lover,1971
Alice Cooper,Under My Wheels,1971
Gomez,Get Miles,1998
The Buckinghams,Don't You Care,1967
Europe,The Final Countdown,1987
Cream,Born Under A Bad Sign,1968
Creedence Clearwater Revival,Sweet Hitch-hiker,1973
Sparks,This Town Ain't Big Enough For The Both Of Us,1974
Spacehog,In the Meantime,1995
Cowboy Junkies,A Common Disaster,1996
Crowded House,Something So Strong,1986
Bob Marley & The Wailers,Could You Be Loved,1980
Los Lobos,Peace,1992
Jackson Browne,The Night Inside Me,2002
The Wallflowers,Sleepwalker,2000
Passion Pit,The Reeling,2009
Tori Amos,Silent All These Years,1991
Bruce Springsteen,Radio Nowhere,2007
The Replacements,Left Of The Dial,1985
Wall Of Voodoo,Mexican Radio,1982
Elvis Costello,"Radio, Radio",1978
The Stray Birds,Radio,2016
Joni Mitchell,"You Turn Me On, I'm A Radio",1972
Queen,Radio Ga Ga,1984
Rush,The Spirit Of Radio,1980
Sharon Jones And The Dap-Kings,Stranger to My Happiness,2014
Steve Winwood,The Finer Things,1986
4 Non Blondes,What's Up?,1993
Luscious Jackson,Naked Eye,1996
Amos Lee,Lost Child,2016
Los Lobos,A Matter Of Time,1984
Joseph,Canyon,2010
Jethro Tull,Living In The Past,1972
Elbow,Grounds For Divorce,2001
Mark O'Connor,New Country,1993
Indigo Girls,Joking,1992
Aimee Mann,Choice In The Matter,1995
Bear's Den,Red Earth & Pouring Rain,2016
Steve Forbert,You Cannot Win If You Do Not Play,1981
The Heavy,How You Like Me Now?,2001
Moby,Natural Blues,2000
Frank Turner,Recovery,2013
Gorillaz,Stylo,2010
Chairmen Of The Board,Give Me Just A Little More Time,1970
Nicole Atkins,Maybe Tonight,2007
Led Zeppelin,That's The Way,1970
Van Morrison,Come Running,1970
Mose Allison,One Of These Days,1964
The Clash,Look Here,1980
Adam & The Ants,Antmusic,1980
Johnny Cash,I Walk The Line,1964
John Lennon,Whatever Gets You Through The Night,1974
Bill Withers,Use Me,1972
Smashing Pumpkins,Today,1992
The Specials,Gangsters,1979
No Doubt,World Go 'Round,1995
Grace Potter And The Nocturnals,Tiny Light,2010
Peter Gabriel,D.I.Y.,1978
Mose Allison,The Seventh Son,1959
MGMT,Time To Pretend,2005
The Replacements,Sixteen Blue,1984
The Animals,Don't Let Me Be Misunderstood,1965
Jefferson Airplane,It's No Secret,1966
Diana Krall,Temptation,2004
